row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định hữu hình khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định hữu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.248.699.527.152,8.223.588.585.401,63.325.816.594,267.589.399.116,631.087.768.891,11.434.291.097.154,2248699527152.0,8223588585401.0,63325816594.0,267589399116.0,631087768891.0,11434291097154.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,14.744.379.767,23.977.250.198,9.550.136.205,36.595.593.359,1.244.982.618,86.112.342.147,14744379767.0,23977250198.0,9550136205.0,36595593359.0,1244982618.0,86112342147.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.177.336.803),(15.712.968.224),-,(3.655.083.368),-,(23.545.388.395),-4177336803.0,-15712968224.0,,-3655083368.0,,-23545388395.0
Điều chính theo quyết toán (i),NGUYÊN GIÁ > Điều chính theo quyết toán (i),Điều chính theo quyết toán (i),426.310.763.920,(190.723.557.102),-,(385.278.148),(284.978.512.064),(49.776.583.394),426310763920.0,-190723557102.0,,-385278148.0,-284978512064.0,-49776583394.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.685.577.334.036,8.041.129.310.273,72.875.952.799,300.144.630.959,347.354.239.445,11.447.081.467.512,2685577334036.0,8041129310273.0,72875952799.0,300144630959.0,347354239445.0,11447081467512.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.660.849.408.385,7.147.939.199.439,50.047.496.567,228.918.696.475,503.184.603.846,9.590.939.404.712,1660849408385.0,7147939199439.0,50047496567.0,228918696475.0,503184603846.0,9590939404712.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,96.093.522.095,224.014.359.918,3.681.840.629,23.918.028.289,14.563.684.001,362.271.434.932,96093522095.0,224014359918.0,3681840629.0,23918028289.0,14563684001.0,362271434932.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.302.895.204),(15.712.968.224),-,(3.655.083.368),-,(22.670.946.796),-3302895204.0,-15712968224.0,,-3655083368.0,,-22670946796.0
Điều chính theo quyết toán (i),GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chính theo quyết toán (i),Điều chính theo quyết toán (i),161.216.371.086,-,-,(385.278.148),(199.094.838.218),(38.263.745.280),161216371086.0,,,-385278148.0,-199094838218.0,-38263745280.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.914.856.406.362,7.356.240.591.133,53.729.337.196,248.796.363.248,318.653.449.629,9.892.276.147.568,1914856406362.0,7356240591133.0,53729337196.0,248796363248.0,318653449629.0,9892276147568.0
GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LAI > Tại ngày đầu năm,Tại ngày đầu năm,587.850.118.767,1.075.649.385.962,13.278.320.027,38.670.702.641,127.903.165.045,1.843.351.692.442,587850118767.0,1075649385962.0,13278320027.0,38670702641.0,127903165045.0,1843351692442.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LAI > Tại ngày cuối năm,Tại ngày cuối năm,770.720.927.674,684.888.719.140,19.146.615.603,51.348.267.711,28.700.789.816,1.554.805.319.944,770720927674.0,684888719140.0,19146615603.0,51348267711.0,28700789816.0,1554805319944.0
