row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.043.865.880,36.477.067.119,36.941.740.511,579.192.488,1043865880.0,36477067119.0,36941740511.0,579192488.0
- Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,1.043.865.880,12.437.490.399,12.902.163.791,579.192.488,1043865880.0,12437490399.0,12902163791.0,579192488.0
- Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,24.039.576.720,24.039.576.720,-,,24039576720.0,24039576720.0,
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,101.921.384.943,101.921.384.943,-,,101921384943.0,101921384943.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,44.879.019.001,278.393.633.759,259.484.372.577,63.788.280.183,44879019001.0,278393633759.0,259484372577.0,63788280183.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.881.625.581,118.375.078.271,104.749.894.154,18.506.809.698,4881625581.0,118375078271.0,104749894154.0,18506809698.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,334.077.840,3.760.168.800,3.866.284.440,227.962.200,334077840.0,3760168800.0,3866284440.0,227962200.0
Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,14.750.000,4.371.748.950,4.337.949.350,48.549.600,14750000.0,4371748950.0,4337949350.0,48549600.0
- Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,14.750.000,100.910.100,67.110.500,48.549.600,14750000.0,100910100.0,67110500.0,48549600.0
- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,-,4.177.471.577,4.177.471.577,-,,4177471577.0,4177471577.0,
- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,-,93.367.273,93.367.273,-,,93367273.0,93367273.0,
,,,51.153.338.302,543.299.081.842,511.301.625.975,83.150.794.169,51153338302.0,543299081842.0,511301625975.0,83150794169.0
