row_label_raw,row_label_full,Ông Phan Công Thành,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Đào Văn Ngọc,Ông Đào Văn Ngọc,Ông Đào Văn Ngọc,Phó Tổng Giám đốc,
Bà Trần Thị Phương Thảo,Bà Trần Thị Phương Thảo,Bà Trần Thị Phương Thảo,Phó Tổng Giám đốc,
Ông Tạ Quang Huy,Ông Tạ Quang Huy,Ông Tạ Quang Huy,Phó Tổng Giám đốc,
Ông Võ Ngọc Phương,Ông Võ Ngọc Phương,Ông Võ Ngọc Phương,Phó Tổng Giám đốc,
Ông Vũ An,Ông Vũ An,Ông Vũ An,Phó Tổng Giám đốc,
