row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Bán quyền,Phần mềm máy tính,Tài sản cố định vô hình khác,Tổng,numeric__Quyền sử dụng đất,numeric__Bán quyền,numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,840.306.849.966,159.117.493.074,125.443.263.782,34.948.124.395,1.159.815.731.217,840306849966.0,159117493074.0,125443263782.0,34948124395.0,1159815731217.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,231.012.000,30.303.290.909,2.940.000.000,33.474.302.909,,231012000.0,30303290909.0,2940000000.0,33474302909.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.137.284.396),-,(1.137.284.396),,,-1137284396.0,,-1137284396.0
Điều chính theo quyết toán (i),NGUYÊN GIÁ > Điều chính theo quyết toán (i),Điều chính theo quyết toán (i),-,12.449.865.003,-,1.929.060.700,14.378.925.703,,12449865003.0,,1929060700.0,14378925703.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,840.306.849.966,171.798.370.077,154.609.270.295,39.817.185.095,1.206.531.675.433,840306849966.0,171798370077.0,154609270295.0,39817185095.0,1206531675433.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,58.515.273.589,159.117.493.074,117.929.974.264,18.272.002.524,353.834.743.451,58515273589.0,159117493074.0,117929974264.0,18272002524.0,353834743451.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,3.777.657.481,897.114.658,3.685.489.684,3.939.055.014,12.299.316.837,3777657481.0,897114658.0,3685489684.0,3939055014.0,12299316837.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.137.284.396),-,(1.137.284.396),,,-1137284396.0,,-1137284396.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,62.292.931.070,160.014.607.732,120.478.179.552,22.211.057.538,364.996.775.892,62292931070.0,160014607732.0,120478179552.0,22211057538.0,364996775892.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,781.791.576.377,-,7.513.289.518,16.676.121.871,805.980.987.766,781791576377.0,,7513289518.0,16676121871.0,805980987766.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,778.013.918.896,11.783.762.345,34.131.090.743,17.606.127.557,841.534.899.541,778013918896.0,11783762345.0,34131090743.0,17606127557.0,841534899541.0
