row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,8.440.110.589.235,9.311.261.949.710,8440110589235.0,9311261949710.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Xỉ măng, clinker","Trong đó: > Xỉ măng, clinker","Xỉ măng, clinker",8.417.423.164.765,9.279.878.283.089,8417423164765.0,9279878283089.0
"Cát, vật liệu phụ và các dịch vụ","Trong đó: > Cát, vật liệu phụ và các dịch vụ","Cát, vật liệu phụ và các dịch vụ",22.687.424.470,31.383.666.621,22687424470.0,31383666621.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(477.481.551.385),(472.636.955.295),-477481551385.0,-472636955295.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(477.481.551.385),(472.636.955.295),-477481551385.0,-472636955295.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,7.962.629.037.850,8.838.624.994.415,7962629037850.0,8838624994415.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Xỉ măng, clinker","Trong đó: > Xỉ măng, clinker","Xỉ măng, clinker",7.939.941.613.380,8.807.241.327.794,7939941613380.0,8807241327794.0
"Cát, vật liệu phụ và các dịch vụ","Trong đó: > Cát, vật liệu phụ và các dịch vụ","Cát, vật liệu phụ và các dịch vụ",22.687.424.470,31.383.666.621,22687424470.0,31383666621.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với bên khác,Trong đó: > Doanh thu với bên khác,Doanh thu với bên khác,7.933.200.199.683,8.825.530.765.792,7933200199683.0,8825530765792.0
Doanh thu với bên liên quan,Trong đó: > Doanh thu với bên liên quan,Doanh thu với bên liên quan,29.428.838.167,13.094.228.623,29428838167.0,13094228623.0
