row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Bản quyền,Chương trình phần mềm,VND Tổng công,numeric__Quyền sử dụng đất,numeric__Bản quyền,numeric__Chương trình phần mềm,numeric__VND Tổng công
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,102.202.954.505,3.247.354.120,26.190.487.638,131.640.796.263,102202954505.0,3247354120.0,26190487638.0,131640796263.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,(165.000.000),(165.000.000),,,-165000000.0,-165000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,102.202.954.505,3.247.354.120,26.025.487.638,131.475.796.263,102202954505.0,3247354120.0,26025487638.0,131475796263.0
Trong đó:Đã hao mòn hết,Nguyên giá: > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,1.789.508.560,3.247.354.120,24.662.187.638,29.699.050.318,1789508560.0,3247354120.0,24662187638.0,29699050318.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,7.117.226.640,3.247.354.120,22.821.322.589,33.185.903.349,7117226640.0,3247354120.0,22821322589.0,33185903349.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,519.964.395,-,2.779.858.485,3.299.822.880,519964395.0,,2779858485.0,3299822880.0
Thanh lý,Giá trị hao mòn lũy kế: > Thanh lý,Thanh lý,-,-,(165.000.000),(165.000.000),,,-165000000.0,-165000000.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,7.637.191.035,3.247.354.120,25.436.181.074,36.320.726.229,7637191035.0,3247354120.0,25436181074.0,36320726229.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,95.085.727.865,-,3.369.165.049,98.454.892.914,95085727865.0,,3369165049.0,98454892914.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,94.565.763.470,-,589.306.564,95.155.070.034,94565763470.0,,589306564.0,95155070034.0
