row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.815.899.110.000,70.790.410.045,(902.752.100),519.682.709.128,759.495.828.719,5.164.965.305.792,3815899110000.0,70790410045.0,-902752100.0,519682709128.0,759495828719.0,5164965305792.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,-,(457.850.293.200),(457.850.293.200),,,,,-457850293200.0,-457850293200.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,739.938.861.325,739.938.861.325,,,,,739938861325.0,739938861325.0
Phân phối lợi nhuận,Năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,96.202.000.000,(183.742.000.000),(87.540.000.000),,,,96202000000.0,-183742000000.0,-87540000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.815.899.110.000,70.790.410.045,(902.752.100),615.884.709.128,857.842.396.844,5.359.513.873.917,3815899110000.0,70790410045.0,-902752100.0,615884709128.0,857842396844.0,5359513873917.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.815.899.110.000,70.790.410.045,(902.752.100),615.884.709.128,857.842.396.844,5.359.513.873.917,3815899110000.0,70790410045.0,-902752100.0,615884709128.0,857842396844.0,5359513873917.0
Cổ tức công bố (*),Năm nay > Cổ tức công bố (*),Cổ tức công bố (*),-,-,-,-,(457.850.293.200),(457.850.293.200),,,,,-457850293200.0,-457850293200.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,607.239.854.857,607.239.854.857,,,,,607239854857.0,607239854857.0
Phân phối lợi nhuận (**),Năm nay > Phân phối lợi nhuận (**),Phân phối lợi nhuận (**),-,-,-,154.328.000.000,(276.583.000.000),(122.255.000.000),,,,154328000000.0,-276583000000.0,-122255000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.815.899.110.000,70.790.410.045,(902.752.100),770.212.709.128,730.648.958.501,5.386.648.435.574,3815899110000.0,70790410045.0,-902752100.0,770212709128.0,730648958501.0,5386648435574.0
