row_label_raw,row_label_full,Bà Trung Thị Tâm Thanh,Trường ban,numeric__Trường ban
Bà Lê Thị Thu Thủy,Bà Lê Thị Thu Thủy,Bà Lê Thị Thu Thủy,Thành viên,
Bà Trần Thị Bích Thủy,Bà Trần Thị Bích Thủy,Bà Trần Thị Bích Thủy,Thành viên,
