row_label_raw,row_label_full,Tên,Chức vụ,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__Thu nhập,numeric__Thu nhập_1
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Ông Đình Quang Dũng,Tên > Ông Đình Quang Dũng,Ông Đình Quang Dũng,Chủ tịch,96.000.000,104.000.000,,96000000.0,104000000.0
Ông Nguyễn Văn Chuyền,Tên > Ông Nguyễn Văn Chuyền,Ông Nguyễn Văn Chuyền,Thành viên,72.000.000,108.000.000,,72000000.0,108000000.0
Ông Bùi Nguyên Quỳnh,Tên > Ông Bùi Nguyên Quỳnh,Ông Bùi Nguyên Quỳnh,Thành viên,1.102.893.775,1.255.090.650,,1102893775.0,1255090650.0
Ông Nguyễn Quốc Thắng,Tên > Ông Nguyễn Quốc Thắng,Ông Nguyễn Quốc Thắng,Thành viên,1.110.436.633,1.231.351.780,,1110436633.0,1231351780.0
Ông Nguyễn Văn Lập,Tên > Ông Nguyễn Văn Lập,Ông Nguyễn Văn Lập,Thành viên,866.490.072,964.630.472,,866490072.0,964630472.0
Ông Phan Xuân Hiệu,Tên > Ông Phan Xuân Hiệu,Ông Phan Xuân Hiệu,Thành viên,6.000.000,-,,6000000.0,
Ông Trương Phú Cường,Tên > Ông Trương Phú Cường,Ông Trương Phú Cường,Thành viên,66.000.000,78.000.000,,66000000.0,78000000.0
Ông Lưu Đình Cường,Tên > Ông Lưu Đình Cường,Ông Lưu Đình Cường,Tổng Giám đốc,1.595.147.297,1.556.505.680,,1595147297.0,1556505680.0
Ông Phạm Đình Nhật Cường,Tên > Ông Phạm Đình Nhật Cường,Ông Phạm Đình Nhật Cường,Phó Tổng Giám đốc,1.056.706.201,1.182.175.039,,1056706201.0,1182175039.0
Ông Nguyễn Thanh Phúc,Tên > Ông Nguyễn Thanh Phúc,Ông Nguyễn Thanh Phúc,Phó Tổng Giám đốc,1.109.864.232,-,,1109864232.0,
Ông Mai Văn Yên,Tên > Ông Mai Văn Yên,Ông Mai Văn Yên,Phó Tổng Giám đốc,-,464.524.694,,,464524694.0
TỔNG CỘNG,Tên > TỔNG CỘNG,TỔNG CỘNG,,7.081.538.210,6.944.278.315,,7081538210.0,6944278315.0
