row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Đã phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Đã phân loại lại
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,12.391.113.347.827,10.762.632.793.279,400.0,,12391113347827.0,10762632793279.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,19,12.391.113.347.827,10.762.632.793.279,410.0,19.0,12391113347827.0,10762632793279.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,20,10.700.000.000.000,10.700.000.000.000,411.0,20.0,10700000000000.0,10700000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,10.700.000.000.000,10.700.000.000.000,,,10700000000000.0,10700000000000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,164.462.417,4.325.862.417,412.0,,164462417.0,4325862417.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,(244.570.817),(244.570.817),418.0,,-244570817.0,-244570817.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,1.691.193.456.227,58.551.501.679,421.0,,1691193456227.0,58551501679.0
- LNST chưa phân phối đến cuối kỳ trước,- LNST chưa phân phối đến cuối kỳ trước,- LNST chưa phân phối đến cuối kỳ trước,421a,,58.551.501.679,58.551.501.679,,,58551501679.0,58551501679.0
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421b,,1.632.641.954.548,-,,,1632641954548.0,
TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),440,,28.969.694.824.111,33.450.742.556.759,440.0,,28969694824111.0,33450742556759.0
