row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,% sở hữu,% quyền biểu quyết,31/12/2015 > Giá gốc VND,31/12/2015 > Dự phòng VND,31/12/2015 > Giá trị hợp lý VND,31/12/2015 > % sở hữu,% quyền biểu quyết_1,1/1/2015 > Giá gốc VND Đã phân loại,1/1/2015 > Dự phòng VND,1/1/2015 > Giá trị hợp lý VND,numeric__Tên Công ty,numeric__Địa chỉ,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__31/12/2015 > Giá gốc VND,numeric__31/12/2015 > Dự phòng VND,numeric__31/12/2015 > Giá trị hợp lý VND,numeric__31/12/2015 > % sở hữu,numeric__% quyền biểu quyết_1,numeric__1/1/2015 > Giá gốc VND Đã phân loại,numeric__1/1/2015 > Dự phòng VND,numeric__1/1/2015 > Giá trị hợp lý VND
Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,Đầu tư góp vốn vàoCông ty liên doanh,,,,,,,,,,,,
1,Đầu tư góp vốn vàoCông ty liên doanh > 1,1,Công ty TNHH Castrol BP-PETCO Việt Nam,TP. Hồ Chí Minh,"35,00%","35,00%",169.426.717.325,-,(*),"35,00%","35,00%",169.426.717.325,-,(*),,,0.35,0.35,169426717325.0,,,0.35,0.35,169426717325.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Ngân hàng TMCP Xăng dầu Petrolímex (i),Hà Nội,"40,00%","40,00%",1.077.957.925.515,-,(*),"40,00%","40,00%",1.077.957.925.515,-,(*),,,0.4,0.4,1077957925515.0,,,0.4,0.4,1077957925515.0,,
2,Công ty liên kết > 2,2,Công ty CP Dịch vụ Đường cao tốc Việt Nam,Hà Nội,"22,38%","22,38%",20.000.000.000,-,(*),"22,38%","22,38%",20.000.000.000,-,(*),,,0.2238,0.2238,20000000000.0,,,0.2238,0.2238,20000000000.0,,
3,Công ty liên kết > 3,3,Công ty CP Vật liệu Xăng dầu và Chất đốt Đồng Nai,Đồng Nai,"21,32%","21,32%",2.582.100.000,-,(*),"21,32%","21,32%",2.582.100.000,-,(*),,,0.2132,0.2132,2582100000.0,,,0.2132,0.2132,2582100000.0,,
4,Công ty liên kết > 4,4,Công ty CP Thương mại Tuyên Quang,Tuyên Quang,"33,19%","33,19%",891.808.000,-,(*),"33,19%","33,19%",891.808.000,-,(*),,,0.3319,0.3319,891808000.0,,,0.3319,0.3319,891808000.0,,
,,,,,,,1.270.858.550.840,-,(*),,,1.270.858.550.840,-,(*),,,,,1270858550840.0,,,,,1270858550840.0,,
