row_label_raw,row_label_full,col_0,Giá trị ghi sổ và sốcó khả năng trả nợ1/1/2015VND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,Biến động trong năm > Chênh lệch tỷgiá đã thực hiệnVND,Biến động trong năm > Chênh lệch tỷ giáchưa thực hiệnVND,Giá trị ghi sổ và sốcó khả năng trả nợ31/12/2015VND,numeric__Giá trị ghi sổ và sốcó khả năng trả nợ1/1/2015VND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__Biến động trong năm > Chênh lệch tỷgiá đã thực hiệnVND,numeric__Biến động trong năm > Chênh lệch tỷ giáchưa thực hiệnVND,numeric__Giá trị ghi sổ và sốcó khả năng trả nợ31/12/2015VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,10.624.142.839.698,62.278.668.880.197,(66.235.772.851.390),342.113.156.192,1.176.600.000,7.010.328.624.697,10624142839698.0,62278668880197.0,-66235772851390.0,342113156192.0,1176600000.0,7010328624697.0
Vay dài hạn đến hạn trả (b),Vay dài hạn đến hạn trả (b),Vay dài hạn đến hạn trả (b),51.800.100.000,56.509.200.000,(52.346.800.000),546.700.000,2.996.400.000,59.505.600.000,51800100000.0,56509200000.0,-52346800000.0,546700000.0,2996400000.0,59505600000.0
,,,10.675.942.939.698,62.335.178.080.197,(66.288.119.651.390),342.659.856.192,4.173.000.000,7.069.834.224.697,10675942939698.0,62335178080197.0,-66288119651390.0,342659856192.0,4173000000.0,7069834224697.0
