row_label_raw,row_label_full,col_0,1/1/2015(phân loại lại)VND,1/1/2015(theo báo cáotrước đây)VND,numeric__1/1/2015(phân loại lại)VND,numeric__1/1/2015(theo báo cáotrước đây)VND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,6.306.057.029.505,1.664.137.827.352,6306057029505.0,1664137827352.0
Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,-,4.641.919.202.153,,4641919202153.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,2.938.975.197.809,2.936.888.918.220,2938975197809.0,2936888918220.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,120.730.466.988,2.086.279.589,120730466988.0,2086279589.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,191.790.000,-,191790000.0,
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,1.270.858.550.840,1.248.276.450.840,1270858550840.0,1248276450840.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,105.912.752.200,395.171.942.931,105912752200.0,395171942931.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,145.946.623.743,191.790.000,145946623743.0,191790000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,8.887.603.454.657,8.879.831.596.499,8887603454657.0,8879831596499.0
Phải trả nội bộ,Phải trả nội bộ,Phải trả nội bộ,-,7.771.858.158,,7771858158.0
