row_label_raw,row_label_full,col_0,31/12/2015 và 1/1/2015,31/12/2015 và 1/1/2015_1,numeric__31/12/2015 và 1/1/2015,numeric__31/12/2015 và 1/1/2015_1
,,,Số cổ phiếu,VND,,
Vốn cổ phần được duyệt,Vốn cổ phần được duyệt,Vốn cổ phần được duyệt,1.070.000.000,10.700.000.000.000,1070000000.0,10700000000000.0
Nhà nước,Nhà nước,Nhà nước,1.016.401.867,10.164.018.670.000,1016401867.0,10164018670000.0
Cổ đông khác,Cổ đông khác,Cổ đông khác,53.598.133,535.981.330.000,53598133.0,535981330000.0
Vốn cổ phần đã phát hành,Vốn cổ phần đã phát hành,Vốn cổ phần đã phát hành,1.035.284.759,10.352.847.590.000,1035284759.0,10352847590000.0
Nhà nước (i),Nhà nước (i),Nhà nước (i),981.686.626,9.816.866.260.000,981686626.0,9816866260000.0
Cổ đông khác,Cổ đông khác,Cổ đông khác,53.598.133,535.981.330.000,53598133.0,535981330000.0
Vốn cổ phần thiếu chưa phát hành,Vốn cổ phần thiếu chưa phát hành,Vốn cổ phần thiếu chưa phát hành,34.715.241,347.152.410.000,34715241.0,347152410000.0
Nhà nước (ii),Nhà nước (ii),Nhà nước (ii),34.715.241,347.152.410.000,34715241.0,347152410000.0
Cổ đông khác,Cổ đông khác,Cổ đông khác,-,-,,
