row_label_raw,row_label_full,col_0,1/1/2015VND,Số phát sinh trong năm VND,Số đã nộp trong năm VND,31/12/2015VND,numeric__1/1/2015VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp trong năm VND,numeric__31/12/2015VND
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,,,,
Thuế giá trị gia tăng đầu ra,Thuế và các khoản khác phải thu Nhà nước > Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,(86.997.777.009),(608.484.732.726),698.448.885.717,2.966.375.982,-86997777009.0,-608484732726.0,698448885717.0,2966375982.0
Thuế giá trị gia tăng hàng nhập khẩu,Thuế và các khoản khác phải thu Nhà nước > Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,(160.433.734.366),(5.057.753.597.036),5.255.647.842.567,37.460.511.165,-160433734366.0,-5057753597036.0,5255647842567.0,37460511165.0
Thuế tiêu thụ đặc biệt,Thuế và các khoản khác phải thu Nhà nước > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,(44.267.536.267),(2.297.001.349.929),2.450.713.426.871,109.444.540.675,-44267536267.0,-2297001349929.0,2450713426871.0,109444540675.0
Thuế xuất nhập khẩu,Thuế và các khoản khác phải thu Nhà nước > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,(262.411.337.898),(6.518.864.899.210),7.153.270.470.423,371.994.233.315,-262411337898.0,-6518864899210.0,7153270470423.0,371994233315.0
,,,(554.110.385.540),(14.482.104.578.901),15.558.080.625.578,521.865.661.137,-554110385540.0,-14482104578901.0,15558080625578.0,521865661137.0
Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,,,,
Thuế thu nhập doanh nghiệp,Thuế và các khoản khác phải nộp Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,69.088.680.130,(70.482.764.129),-,(1.394.083.999),69088680130.0,-70482764129.0,,-1394083999.0
Thuế thu nhập cá nhân,Thuế và các khoản khác phải nộp Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(31.633.522),(4.671.336.255),4.328.728.850,(374.240.927),-31633522.0,-4671336255.0,4328728850.0,-374240927.0
Thuế và phí khác,Thuế và các khoản khác phải nộp Nhà nước > Thuế và phí khác,Thuế và phí khác,(93.146.487.500),(4.474.253.920),97.545.244.305,(75.497.115),-93146487500.0,-4474253920.0,97545244305.0,-75497115.0
,,,(24.089.440.892),(79.628.354.304),101.873.973.155,(1.843.822.041),-24089440892.0,-79628354304.0,101873973155.0,-1843822041.0
,,,(578.199.826.432),(14.561.732.933.205),15.659.954.598.733,520.021.839.096,-578199826432.0,-14561732933205.0,15659954598733.0,520021839096.0
