row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Chênh lệch đánh giá lại tài sản VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch đánh giá lại tài sản VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,10.700.000.000.000,-,(896.534.817.565),(244.570.817),11.932.898.591,1.035.505.107.997,10.850.658.618.206,10700000000000.0,,-896534817565.0,-244570817.0,11932898591.0,1035505107997.0,10850658618206.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,58.510.984.976,58.510.984.976,,,,,,58510984976.0,58510984976.0
Điều chỉnh theo hồ sơ Quyết toán Cổ phần hóa ngày 26 tháng 9 năm 2014,Điều chỉnh theo hồ sơ Quyết toán Cổ phần hóa ngày 26 tháng 9 năm 2014,Điều chỉnh theo hồ sơ Quyết toán Cổ phần hóa ngày 26 tháng 9 năm 2014,-,4.325.862.417,896.534.817.565,-,(11.932.898.591),-,888.927.781.391,,4325862417.0,896534817565.0,,-11932898591.0,,888927781391.0
Bù trừ một phần lỗ lũy kể từ 1/1/2010 đến 30/11/2011,Bù trừ một phần lỗ lũy kể từ 1/1/2010 đến 30/11/2011,Bù trừ một phần lỗ lũy kể từ 1/1/2010 đến 30/11/2011,-,-,-,-,-,(898.325.390.692),(898.325.390.692),,,,,,-898325390692.0,-898325390692.0
Chia cổ tức cho cổ đông ngoài Nhà nước,Chia cổ tức cho cổ đông ngoài Nhà nước,Chia cổ tức cho cổ đông ngoài Nhà nước,-,-,-,-,-,(96.155.050.602),(96.155.050.602),,,,,,-96155050602.0,-96155050602.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(40.984.150.000),(40.984.150.000),,,,,,-40984150000.0,-40984150000.0
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,10.700.000.000.000,4.325.862.417,-,(244.570.817),-,58.551.501.679,10.762.632.793.279,10700000000000.0,4325862417.0,,-244570817.0,,58551501679.0,10762632793279.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.055.003.323.242,2.055.003.323.242,,,,,,2055003323242.0,2055003323242.0
Bù trừ phải thu về cổ phần hóa,Bù trừ phải thu về cổ phần hóa,Bù trừ phải thu về cổ phần hóa,-,-,-,-,-,(416.198.842.693),(416.198.842.693),,,,,,-416198842693.0,-416198842693.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(6.000.000.000),(6.000.000.000),,,,,,-6000000000.0,-6000000000.0
Biến động khác,Biến động khác,Biến động khác,-,(4.161.400.000),-,-,-,(162.526.001),(4.323.926.001),,-4161400000.0,,,,-162526001.0,-4323926001.0
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,10.700.000.000.000,164.462.417,-,(244.570.817),-,1.691.193.456.227,12.391.113.347.827,10700000000000.0,164462417.0,,-244570817.0,,1691193456227.0,12391113347827.0
