row_label_raw,row_label_full,col_0,31/12/2015VND,1/1/2015VNDĐã phân loại lại,numeric__31/12/2015VND,numeric__1/1/2015VNDĐã phân loại lại
Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,1.339.501.930.337,804.846.715.462,1339501930337.0,804846715462.0
Công ty TNHH MTV Petrolimex Lào,Công ty TNHH MTV Petrolimex Lào,Công ty TNHH MTV Petrolimex Lào,193.462.187.356,279.074.287.090,193462187356.0,279074287090.0
Các công ty con thuộc Khối xăng dầu trực thuộc,Các công ty con thuộc Khối xăng dầu trực thuộc,Các công ty con thuộc Khối xăng dầu trực thuộc,3.166.453.085.897,4.641.919.202.153,3166453085897.0,4641919202153.0
Công ty Xăng dầu B12 – Công ty TNHH MTV,Công ty Xăng dầu B12 – Công ty TNHH MTV,Công ty Xăng dầu B12 – Công ty TNHH MTV,842.491.410.500,1.104.535.751.349,842491410500.0,1104535751349.0
Công ty TNHH MTV Xăng dầu KV2,Công ty TNHH MTV Xăng dầu KV2,Công ty TNHH MTV Xăng dầu KV2,632.122.156.302,851.167.283.142,632122156302.0,851167283142.0
Công ty Xăng dầu Bà Rịa Vũng Tàu,Công ty Xăng dầu Bà Rịa Vũng Tàu,Công ty Xăng dầu Bà Rịa Vũng Tàu,188.706.413.373,266.027.808.733,188706413373.0,266027808733.0
Công ty Xăng dầu KV5 – Công ty TNHH MTV,Công ty Xăng dầu KV5 – Công ty TNHH MTV,Công ty Xăng dầu KV5 – Công ty TNHH MTV,175.218.707.905,226.479.821.735,175218707905.0,226479821735.0
Công ty Xăng dầu Thanh Hóa – Công ty TNHH MTV,Công ty Xăng dầu Thanh Hóa – Công ty TNHH MTV,Công ty Xăng dầu Thanh Hóa – Công ty TNHH MTV,136.837.188.964,117.464.042.096,136837188964.0,117464042096.0
Công ty TNHH MTV Xăng dầu Vĩnh Long,Công ty TNHH MTV Xăng dầu Vĩnh Long,Công ty TNHH MTV Xăng dầu Vĩnh Long,116.612.648.318,149.841.135.277,116612648318.0,149841135277.0
Công ty Xăng dầu KV3 – Công ty TNHH MTV,Công ty Xăng dầu KV3 – Công ty TNHH MTV,Công ty Xăng dầu KV3 – Công ty TNHH MTV,111.926.559.218,156.366.037.850,111926559218.0,156366037850.0
Công ty Xăng dầu Tây Nam Bộ,Công ty Xăng dầu Tây Nam Bộ,Công ty Xăng dầu Tây Nam Bộ,102.795.965.999,137.771.282.587,102795965999.0,137771282587.0
Công ty TNHH MTV Xăng dầu Cà Mau,Công ty TNHH MTV Xăng dầu Cà Mau,Công ty TNHH MTV Xăng dầu Cà Mau,94.177.200.984,98.353.270.038,94177200984.0,98353270038.0
Công ty Xăng dầu Bắc Tây Nguyên,Công ty Xăng dầu Bắc Tây Nguyên,Công ty Xăng dầu Bắc Tây Nguyên,88.657.838.804,118.247.076.207,88657838804.0,118247076207.0
Công ty Xăng dầu Long An,Công ty Xăng dầu Long An,Công ty Xăng dầu Long An,84.849.108.322,110.925.961.539,84849108322.0,110925961539.0
Công ty Xăng dầu Hà Tĩnh,Công ty Xăng dầu Hà Tĩnh,Công ty Xăng dầu Hà Tĩnh,72.933.485.686,115.393.427.934,72933485686.0,115393427934.0
Công ty Xăng dầu Phú Thọ,Công ty Xăng dầu Phú Thọ,Công ty Xăng dầu Phú Thọ,67.291.006.070,86.113.806.607,67291006070.0,86113806607.0
Công ty TNHH MTV Xăng dầu An Giang,Công ty TNHH MTV Xăng dầu An Giang,Công ty TNHH MTV Xăng dầu An Giang,38.555.614.698,34.467.949.269,38555614698.0,34467949269.0
