row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Đã phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Đã phân loại lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn(100 = 110 + 130 + 140 + 150),TÀI SẢN > Tài sản ngắn hạn(100 = 110 + 130 + 140 + 150),Tài sản ngắn hạn(100 = 110 + 130 + 140 + 150),100,,20.137.430.366.005,23.575.168.818.225,100.0,,20137430366005.0,23575168818225.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,7.778.553.550.138,6.401.720.318.395,110.0,5.0,7778553550138.0,6401720318395.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,3.145.452.550.138,3.247.042.160.933,111.0,,3145452550138.0,3247042160933.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,4.633.101.000.000,3.154.678.157.462,112.0,,4633101000000.0,3154678157462.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,6.533.661.859.378,9.333.159.833.459,130.0,,6533661859378.0,9333159833459.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,6,4.905.852.906.726,6.306.057.029.505,131.0,6.0,4905852906726.0,6306057029505.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,5.235.252.028,88.127.606.145,132.0,,5235252028.0,88127606145.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,7,1.622.573.700.624,2.938.975.197.809,136.0,7.0,1622573700624.0,2938975197809.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,8,4.993.502.030.695,7.369.652.736.494,140.0,8.0,4993502030695.0,7369652736494.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,5.075.325.654.209,7.369.652.736.494,141.0,,5075325654209.0,7369652736494.0
