row_label_raw,row_label_full,NỘ PHẢI TRẢ (300 = 310 + 330),300,col_2,16.578.581.476.284,22.688.109.763.480,numeric__300,numeric__col_2,numeric__16.578.581.476.284,numeric__22.688.109.763.480
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,16.370.311.876.284,22.433.818.363.480,310.0,,16370311876284.0,22433818363480.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,15,6.696.980.928.281,8.887.603.454.657,311.0,15.0,6696980928281.0,8887603454657.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,121.580.098.470,41.759.615,312.0,,121580098470.0,41759615.0
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,313,16,1.843.822.041,647.288.506.562,313.0,16.0,1843822041.0,647288506562.0
Nhà nước,Nhà nước,Nhà nước,,,,,,,,
Phải trả người lao động,Nhà nước > Phải trả người lao động,Phải trả người lao động,314,,16.078.891.996,12.902.078.047,314.0,,16078891996.0,12902078047.0
Chi phí phải trả ngắn hạn,Nhà nước > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,,23.168.472.087,10.229.879.589,315.0,,23168472087.0,10229879589.0
Phải trả ngắn hạn khác,Nhà nước > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,,44.902.824.742,19.443.952.599,319.0,,44902824742.0,19443952599.0
Vay ngắn hạn,Nhà nước > Vay ngắn hạn,Vay ngắn hạn,320,17(a),7.069.834.224.697,10.675.942.939.698,320.0,,7069834224697.0,10675942939698.0
"Quỹ khen thưởng, phúc lợi","Nhà nước > Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,18.529.444.982,20.568.748.933,322.0,,18529444982.0,20568748933.0
Quỹ bình ổn giá xăng dầu,Nhà nước > Quỹ bình ổn giá xăng dầu,Quỹ bình ổn giá xăng dầu,323,18,2.377.393.168.988,2.159.797.043.780,323.0,18.0,2377393168988.0,2159797043780.0
Nợ dài hạn,Nhà nước > Nợ dài hạn,Nợ dài hạn,330,,208.269.600.000,254.291.400.000,330.0,,208269600000.0,254291400000.0
Vay dài hạn,Nhà nước > Vay dài hạn,Vay dài hạn,338,17(b),208.269.600.000,254.291.400.000,338.0,,208269600000.0,254291400000.0
