row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2019 > Số lượng,Ngày 31 tháng 12 năm 2019 > Giá trị theo mênh giá (VND),Ngày 31 tháng 12 năm 2018 > Số lượng,Ngày 31 tháng 12 năm 2018 > Giá trị theo mênh giá (VND),numeric__Ngày 31 tháng 12 năm 2019 > Số lượng,numeric__Ngày 31 tháng 12 năm 2019 > Giá trị theo mênh giá (VND),numeric__Ngày 31 tháng 12 năm 2018 > Số lượng,numeric__Ngày 31 tháng 12 năm 2018 > Giá trị theo mênh giá (VND)
Cổ phiếu đăng ký phát hành,Cổ phiếu đăng ký phát hành,Cổ phiếu đăng ký phát hành,475.711.167,4.757.111.670.000,475.711.167,4.757.111.670.000,475711167.0,4757111670000.0,475711167.0,4757111670000.0
Cổ phiếu đã bán ra công chúng,Cổ phiếu đã bán ra công chúng,Cổ phiếu đã bán ra công chúng,475.711.167,4.757.111.670.000,475.711.167,4.757.111.670.000,475711167.0,4757111670000.0,475711167.0,4757111670000.0
Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,475.711.167,4.757.111.670.000,475.711.167,4.757.111.670.000,475711167.0,4757111670000.0,475711167.0,4757111670000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,-,-,,,,
Cổ phiếu quỹ,Cổ phiếu ưu đãi > Cổ phiếu quỹ,Cổ phiếu quỹ,5.950.978,59.509.780.000,5.950.978,59.509.780.000,5950978.0,59509780000.0,5950978.0,59509780000.0
Cổ phiếu phổ thông,Cổ phiếu ưu đãi > Cổ phiếu phổ thông,Cổ phiếu phổ thông,5.950.978,59.509.780.000,5.950.978,59.509.780.000,5950978.0,59509780000.0,5950978.0,59509780000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,-,-,,,,
Cổ phiếu đang lưu hành,Cổ phiếu ưu đãi > Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,469.760.189,4.697.601.890.000,469.760.189,4.697.601.890.000,469760189.0,4697601890000.0,469760189.0,4697601890000.0
Cổ phiếu phổ thông,Cổ phiếu ưu đãi > Cổ phiếu phổ thông,Cổ phiếu phổ thông,469.760.189,4.697.601.890.000,469.760.189,4.697.601.890.000,469760189.0,4697601890000.0,469760189.0,4697601890000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,-,-,,,,
