row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty Cổ phần Đầu tư Sài Gòn (i),Ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn (i),Công ty Cổ phần Đầu tư Sài Gòn (i),583.000.000.000,-,583.000.000.000,-,583000000000.0,,583000000000.0,
Phải thu Công ty Cổ phần Dịch vụ Kinh Bắc (ii),Ngắn hạn > Phải thu Công ty Cổ phần Dịch vụ Kinh Bắc (ii),Phải thu Công ty Cổ phần Dịch vụ Kinh Bắc (ii),233.506.720.919,-,638.720.513.305,-,233506720919.0,,638720513305.0,
Ứng trước cho PVCombank liên quan đến hợp đồng nhận chuyển nhượng dự án đầu tư,Ngắn hạn > Ứng trước cho PVCombank liên quan đến hợp đồng nhận chuyển nhượng dự án đầu tư,Ứng trước cho PVCombank liên quan đến hợp đồng nhận chuyển nhượng dự án đầu tư,223.040.284.000,-,216.840.284.000,-,223040284000.0,,216840284000.0,
Phải thu Công ty Cổ phần Kum-Ba (iii),Ngắn hạn > Phải thu Công ty Cổ phần Kum-Ba (iii),Phải thu Công ty Cổ phần Kum-Ba (iii),43.577.296.000,-,43.577.296.000,-,43577296000.0,,43577296000.0,
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,61.497.488.727,-,56.588.207.482,-,61497488727.0,,56588207482.0,
Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Ngắn hạn > Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,26.066.843.836,-,-,-,26066843836.0,,,
Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (iv),Ngắn hạn > Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (iv),Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (iv),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (v),Ngắn hạn > Phải thu tiền đặt cọc (v),Phải thu tiền đặt cọc (v),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,67.319.793.213,-,47.586.758.210,-,67319793213.0,,47586758210.0,
Phải thu khác các bên liên quan (Thuyết minh số 28),Ngắn hạn > Phải thu khác các bên liên quan (Thuyết minh số 28),Phải thu khác các bên liên quan (Thuyết minh số 28),41.756.475.190,-,201.519.033.299,-,41756475190.0,,201519033299.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.312.056.030.289,-,1.820.123.220.700,-,1312056030289.0,,1820123220700.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Công ty Cổ phần Dịch vụ Kinh Bắc (vi),Dài hạn > Công ty Cổ phần Dịch vụ Kinh Bắc (vi),Công ty Cổ phần Dịch vụ Kinh Bắc (vi),126.035.136.906,-,-,-,126035136906.0,,,
Công ty Cổ phần Địa ốc Viễn Đông Việt Nam (vii),Dài hạn > Công ty Cổ phần Địa ốc Viễn Đông Việt Nam (vii),Công ty Cổ phần Địa ốc Viễn Đông Việt Nam (vii),500.000.000,-,600.000.000.000,-,500000000.0,,600000000000.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,317.575.346,-,269.000.000,-,317575346.0,,269000000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,126.852.712.252,-,600.269.000.000,-,126852712252.0,,600269000000.0,
