row_label_raw,row_label_full,Giá trị đầu tư: > Số đầu năm > Giảm giá trị đầu tư > Số cuối năm,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Giá trị đầu tư: > 423.492.661.074 > - > 423.492.661.074,Công ty Cổ phần Đầu tư Sài Gòn - Huế > Giá trị đầu tư: > 210.627.000.000 > - > 210.627.000.000,Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu Công nghệ Cao Sài Gòn > Giá trị đầu tư: > 82.330.830.000 > (82.330.830.000) > -,Công ty Cổ phần Scanviwood > Giá trị đầu tư: > 7.204.600.000 > - > 7.204.600.000,Đơn vị tính: VND > Giá trị đầu tư: > 723.655.091.074 > (82.330.830.000) > 641.324.261.074,numeric__Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Giá trị đầu tư: > 423.492.661.074 > - > 423.492.661.074,numeric__Công ty Cổ phần Đầu tư Sài Gòn - Huế > Giá trị đầu tư: > 210.627.000.000 > - > 210.627.000.000,numeric__Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu Công nghệ Cao Sài Gòn > Giá trị đầu tư: > 82.330.830.000 > (82.330.830.000) > -,numeric__Công ty Cổ phần Scanviwood > Giá trị đầu tư: > 7.204.600.000 > - > 7.204.600.000,numeric__Đơn vị tính: VND > Giá trị đầu tư: > 723.655.091.074 > (82.330.830.000) > 641.324.261.074
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,(38.403.359.527),(6.776.721.806),105.685.135,(1.411.699.172),(46.486.095.370),-38403359527.0,-6776721806.0,105685135.0,-1411699172.0,-46486095370.0
- Phần lợi nhuận/(lỗ) sau khi mua công ty liên kết,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > - Phần lợi nhuận/(lỗ) sau khi mua công ty liên kết,- Phần lợi nhuận/(lỗ) sau khi mua công ty liên kết,1.958.426.727,(1.239.061.689),-,(298.833.206),420.531.832,1958426727.0,-1239061689.0,,-298833206.0,420531832.0
- Lỗ từ thanh lý khoản đầu tư,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > - Lỗ từ thanh lý khoản đầu tư,- Lỗ từ thanh lý khoản đầu tư,-,-,(105.685.135),-,(105.685.135),,,-105685135.0,,-105685135.0
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,(36.444.932.800),(8.015.783.495),-,(1.710.532.378),(46.171.248.673),-36444932800.0,-8015783495.0,,-1710532378.0,-46171248673.0
Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,,,,,
Số đầu năm,Lợi thế thương mại đã phân bổ: > Số đầu năm,Số đầu năm,160.227.726.386,-,-,-,160.227.726.386,160227726386.0,,,,160227726386.0
Số cuối năm,Lợi thế thương mại đã phân bổ: > Số cuối năm,Số cuối năm,160.227.726.386,-,-,-,160.227.726.386,160227726386.0,,,,160227726386.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,224.861.575.161,203.850.278.196,82.436.515.135,5.792.900.828,516.941.269.318,224861575161.0,203850278196.0,82436515135.0,5792900828.0,516941269318.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,226.820.001.888,202.611.216.505,-,5.494.067.622,434.925.286.015,226820001888.0,202611216505.0,,5494067622.0,434925286015.0
