row_label_raw,row_label_full,Số đầu năm,Đơn vị tính: VND > Năm nay > 802.762.703.429,Đơn vị tính: VND > Năm trước > 749.667.313.428,numeric__Đơn vị tính: VND > Năm nay > 802.762.703.429,numeric__Đơn vị tính: VND > Năm trước > 749.667.313.428
Lợi nhuận thuộc về cổ đông không kiểm soát,Lợi nhuận thuộc về cổ đông không kiểm soát,Lợi nhuận thuộc về cổ đông không kiểm soát,122.396.989.276,62.751.418.237,122396989276.0,62751418237.0
Cổ tức chi trả,Cổ tức chi trả,Cổ tức chi trả,(27.225.368.714),(9.656.028.236),-27225368714.0,-9656028236.0
Số cuối năm,Số cuối năm,Số cuối năm,897.934.323.991,802.762.703.429,897934323991.0,802762703429.0
