row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh số 19),Mối quan hệ > Vay ngắn hạn (Thuyết minh số 19),Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 19),Năm nay > Vay ngắn hạn (Thuyết minh số 19),Năm trước > Vay ngắn hạn (Thuyết minh số 19),numeric__Mối quan hệ > Vay ngắn hạn (Thuyết minh số 19),numeric__Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 19),numeric__Năm nay > Vay ngắn hạn (Thuyết minh số 19),numeric__Năm trước > Vay ngắn hạn (Thuyết minh số 19)
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Bên liên quan khác,Vay ngắn hạn,-,112.330.830.000,,,,112330830000.0
Công ty Cổ phần Đầu tư Sài Gòn Đà Nẵng (**),Công ty Cổ phần Đầu tư Sài Gòn Đà Nẵng (**),Công ty Cổ phần Đầu tư Sài Gòn Đà Nẵng (**),Công ty liên kết,Vay ngắn hạn,8.000.000.000,40.000.000.000,,,8000000000.0,40000000000.0
Công ty Cổ phần Đầu tư Vinatex Tân Tạo (***),Công ty Cổ phần Đầu tư Vinatex Tân Tạo (***),Công ty Cổ phần Đầu tư Vinatex Tân Tạo (***),Công ty liên kết,Vay ngắn hạn,100.000.000.000,-,,,100000000000.0,
,,,,,108.000.000.000,152.330.830.000,,,108000000000.0,152330830000.0
Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),,,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn (*),Vay dài hạn (Thuyết minh số 19) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn (*),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn (*),Bên liên quan khác,Vay dài hạn,30.000.000.000,-,,,30000000000.0,
,,,,,30.000.000.000,-,,,30000000000.0,
