row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp/cán trừ trong năm,Đơn vị tính: VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp/cán trừ trong năm,numeric__Đơn vị tính: VND > Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,87.518.096.545,102.721.703.173,(168.258.416.997),21.981.382.721,87518096545.0,102721703173.0,-168258416997.0,21981382721.0
Thuế thu nhập doanh nghiệp(Thuyết minh số 27),Phải nộp > Thuế thu nhập doanh nghiệp(Thuyết minh số 27),Thuế thu nhập doanh nghiệp(Thuyết minh số 27),194.021.522.426,172.267.830.794,(266.961.704.079),99.327.649.141,194021522426.0,172267830794.0,-266961704079.0,99327649141.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,640.413.536,23.802.519.906,(22.223.911.364),2.219.022.078,640413536.0,23802519906.0,-22223911364.0,2219022078.0
Các khoản phải nộp Nhà nước khác,Phải nộp > Các khoản phải nộp Nhà nước khác,Các khoản phải nộp Nhà nước khác,19.808.974.578,2.474.426.482,(16.504.826.409),5.778.574.651,19808974578.0,2474426482.0,-16504826409.0,5778574651.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,301.989.007.085,301.266.480.355,(473.948.858.849),129.306.628.591,301989007085.0,301266480355.0,-473948858849.0,129306628591.0
,,,Số đầu năm,Số phải thu trong năm/nộp trong năm,Số đã thu/cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,86.978.850.743,-,(86.978.850.744),-,86978850743.0,,-86978850744.0,
Thuế giá trị gia tăng khấu trừ,Phải thu > Thuế giá trị gia tăng khấu trừ,Thuế giá trị gia tăng khấu trừ,54.195.425.437,181.431.313.607,(99.231.833.599),136.394.905.445,54195425437.0,181431313607.0,-99231833599.0,136394905445.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,17.935.053,3.280.758.788,(751.445.423),2.547.248.417,17935053.0,3280758788.0,-751445423.0,2547248417.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,141.192.211.233,184.712.072.395,(186.962.129.766),138.942.153.862,141192211233.0,184712072395.0,-186962129766.0,138942153862.0
