row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – chi nhánh Bắc Ninh > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Khu công nghiệp Quế Võ > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Quế Võ,Số cuối năm > 86.935.305.750 > 39.700.314.144 > 219.534.936.090 > 52.865.404.090,"Lãi suất > 10,5%/năm","Kỳ hạn trả gốc và lãi > Gốc trả 6 tháng một lần kể từ ngày 1 tháng 12 năm 2018, lãi vay trả 3 tháng một lần kể từ ngày 19 tháng 9 năm 2018 > Gốc vay đáo hạn vào ngày 6 tháng 2 năm 2020. Lãi vay được trả vào ngày 25 cuối mối quý > Gốc vay đáo hạn vào ngày 29 tháng 11 năm 2022. Lãi vay được trả vào ngày 25 cuối mối quý > Gốc vay đáo hạn vào ngày 16 tháng 11 năm 2022, trả 6 tháng một lần, lãi vay trả 3 tháng 1 lần kể từ ngày 25 tháng 8 năm 2017","Hình thức đảm bảo > Toàn bộ tài sản hình thành trong tương lai bao gồm quyền sử dụng đất và tài sản trên đất của Khu đô thị Phúc Ninh – phân khu có quy mô 22 ha. > Giá trị định giá phần diện tích đất thương phẩm chưa cho thuê theo biên bản định giá số 217.07/2019/BBĐGL được lập ngày 10 tháng 10 năm 2019 giá trị tài sản là 84.866.000.000 VND. > Toàn bộ tài sản hình thành từ chi phí đầu tư mà Công ty đã đầu tư và sẽ đầu tư trong tương lai vào 100ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh và các quyền tài sản phát sinh từ các hợp đồng kinh tế phát sinh từ các giao dịch nhằm kinh doanh cơ sở hạ tầng, đất và tài sản gắn liền với đất của 100ha giai đoạn 1 Khu công nghiệp Nam Sơn - Hạp Lĩnh. > Giá trị còn lại các tài sản hình thành từ dự án đầu tư xây dựng cơ sở hạ tầng Khu công nghiệp Quế Võ mở rộng 83,8 ha.",numeric__Số cuối năm > 86.935.305.750 > 39.700.314.144 > 219.534.936.090 > 52.865.404.090,"numeric__Lãi suất > 10,5%/năm","numeric__Kỳ hạn trả gốc và lãi > Gốc trả 6 tháng một lần kể từ ngày 1 tháng 12 năm 2018, lãi vay trả 3 tháng một lần kể từ ngày 19 tháng 9 năm 2018 > Gốc vay đáo hạn vào ngày 6 tháng 2 năm 2020. Lãi vay được trả vào ngày 25 cuối mối quý > Gốc vay đáo hạn vào ngày 29 tháng 11 năm 2022. Lãi vay được trả vào ngày 25 cuối mối quý > Gốc vay đáo hạn vào ngày 16 tháng 11 năm 2022, trả 6 tháng một lần, lãi vay trả 3 tháng 1 lần kể từ ngày 25 tháng 8 năm 2017","numeric__Hình thức đảm bảo > Toàn bộ tài sản hình thành trong tương lai bao gồm quyền sử dụng đất và tài sản trên đất của Khu đô thị Phúc Ninh – phân khu có quy mô 22 ha. > Giá trị định giá phần diện tích đất thương phẩm chưa cho thuê theo biên bản định giá số 217.07/2019/BBĐGL được lập ngày 10 tháng 10 năm 2019 giá trị tài sản là 84.866.000.000 VND. > Toàn bộ tài sản hình thành từ chi phí đầu tư mà Công ty đã đầu tư và sẽ đầu tư trong tương lai vào 100ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh và các quyền tài sản phát sinh từ các hợp đồng kinh tế phát sinh từ các giao dịch nhằm kinh doanh cơ sở hạ tầng, đất và tài sản gắn liền với đất của 100ha giai đoạn 1 Khu công nghiệp Nam Sơn - Hạp Lĩnh. > Giá trị còn lại các tài sản hình thành từ dự án đầu tư xây dựng cơ sở hạ tầng Khu công nghiệp Quế Võ mở rộng 83,8 ha."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,399.035.960.074,,,,399035960074.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,138.935.305.750,,,,138935305750.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,260.100.654.324,,,,260100654324.0,,,
