row_label_raw,row_label_full,Ông Đặng Thành Tâm,Chủ tịch Hội đồng Quản trị,Tạm ứng,-,195.814.309.000,numeric__Chủ tịch Hội đồng Quản trị,numeric__Tạm ứng,numeric__-,numeric__195.814.309.000
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tổng Giám đốc,Tạm ứng,-,3.489.211.820,,,,3489211820.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chínhành Bắc Ninh,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chínhành Bắc Ninh,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chínhành Bắc Ninh,Công ty liên kết,Đặt cọc,41.583.028.290,1.932.065.479,,,41583028290.0,1932065479.0
Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Mỹ Ngọc,Phó Tổng Giám đốc,Tạm ứng,173.446.900,173.447.000,,,173446900.0,173447000.0
Ông Phan Anh Dũng,Ông Phan Anh Dũng,Ông Phan Anh Dũng,Phó Tổng Giám đốc,Tạm ứng,-,110.000.000,,,,110000000.0
,,,,,41.756.475.190,201.519.033.299,,,41756475190.0,201519033299.0
Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),,,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Chi phí phải trả ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Bên liên quan khác,Lãi vay phải trả,-,775.082.727,,,,775082727.0
Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Chi phí phải trả ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Bên liên quan khác,Lãi vay phải trả,1.233.333.333,-,,,1233333333.0,
,,,,,1.233.333.333,775.082.727,,,1233333333.0,775082727.0
Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),,,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Bên liên quan khác,Lãi vay phải trả,909.879.723,-,,,909879723.0,
,,,,,909.879.723,-,,,909879723.0,
