row_label_raw,row_label_full,col_0,Don vị tính: VND,Don vị tính: VND_1,numeric__Don vị tính: VND,numeric__Don vị tính: VND_1
,,,Năm nay,Năm trước,,
Các khoản chi phí bán hàng,Các khoản chi phí bán hàng,Các khoản chi phí bán hàng,,,,
"Phí tư vấn pháp lý, môi giới bán hàng","Các khoản chi phí bán hàng > Phí tư vấn pháp lý, môi giới bán hàng","Phí tư vấn pháp lý, môi giới bán hàng",127.603.646.911,128.510.332.025,127603646911.0,128510332025.0
Chi phí nhân viên bán hàng,Các khoản chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,3.317.314.000,2.122.288.000,3317314000.0,2122288000.0
Khác,Các khoản chi phí bán hàng > Khác,Khác,10.989.453.544,11.381.947.903,10989453544.0,11381947903.0
TỔNG CỘNG,Các khoản chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,141.910.414.455,142.014.567.928,141910414455.0,142014567928.0
Các khoản chi phí quản lý doanh nghiệp,Các khoản chi phí quản lý doanh nghiệp,Các khoản chi phí quản lý doanh nghiệp,,,,
Chi phí khấu hao TSCĐ,Các khoản chi phí quản lý doanh nghiệp > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,9.334.100.773,7.917.389.196,9334100773.0,7917389196.0
Chi phí nhân viên quản lý,Các khoản chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,98.901.264.299,85.992.134.624,98901264299.0,85992134624.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,39.492.549.654,41.893.836.671,39492549654.0,41893836671.0
Khác,Các khoản chi phí quản lý doanh nghiệp > Khác,Khác,24.151.983.922,29.055.074.464,24151983922.0,29055074464.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,171.879.898.648,164.858.434.955,171879898648.0,164858434955.0
