row_label_raw,row_label_full,KBCbond1-2017 > KBC Bond2018 -02 > KBCbond2019-01 > KBCBond2019-02 > KBC Bond 2019 -03 > KBCbond2019-05 > KBCBond2019-06,Loại trái phiếu > Trái phiếu doanh nghiệp phát hành cho BIDV Bắc Sài Gòn > Trái phiếu doanh nghiệp,Số lượng trái phiếu > 280 > 4.000.000 > 571.000 > 2.000.000 > 477.000,Mệnh giá VND > 1.000.000.000 > 100.000,Giá trị VND > 280.000.000.000 > 400.000.000.000 > 57.100.000.000 > 200.000.000.000 > 47.700.000.000,"Lãi suất > 10,33% > 10,6% > 10% > 10,5% > 10,8%",Thời hạn trái phiếu > 21 tháng 11 năm 2022 > 14 tháng 5 năm 2020 > 29 tháng 1 năm 2020 > 15 tháng 4 năm 2021 > 05 tháng 1 năm 2021 > 28 tháng 6 năm 2021 > 06 tháng 6 năm 2021,Tài sản đảm bảo > Toàn bộ cổ phần của Công ty TNHH Một thành viên Đầu tư Kinh Bắc - Đà Nẵng. > Cổ phiếu của Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng. > 1.309.000 cổ phiếu phổ thông của Công ty Cổ phần Khu công nghiệp Sài Gòn- Hải Phòng do KBC năm giữ và 726.000 cổ phiếu của SBG do Công ty Cổ phần Khu công nghiệp Sài Gòn- Hải Phòng nằm giữ > 26.000.000 cổ phiếu của KBC > 700.000 cổ phiếu Công ty Cổ phần Khu công nghiệp Sài Gòn- Hải Phòng > 800.000 cổ phiếu của Công ty Cổ phần Khu công nghiệp Sài Gòn- Hải Phòng > 420.000 cổ phiếu phổ thông của Công ty Cổ phần Khu công nghiệp Sài Gòn- Hải Phòng,numeric__Loại trái phiếu > Trái phiếu doanh nghiệp phát hành cho BIDV Bắc Sài Gòn > Trái phiếu doanh nghiệp,numeric__Số lượng trái phiếu > 280 > 4.000.000 > 571.000 > 2.000.000 > 477.000,numeric__Mệnh giá VND > 1.000.000.000 > 100.000,numeric__Giá trị VND > 280.000.000.000 > 400.000.000.000 > 57.100.000.000 > 200.000.000.000 > 47.700.000.000,"numeric__Lãi suất > 10,33% > 10,6% > 10% > 10,5% > 10,8%",numeric__Thời hạn trái phiếu > 21 tháng 11 năm 2022 > 14 tháng 5 năm 2020 > 29 tháng 1 năm 2020 > 15 tháng 4 năm 2021 > 05 tháng 1 năm 2021 > 28 tháng 6 năm 2021 > 06 tháng 6 năm 2021,numeric__Tài sản đảm bảo > Toàn bộ cổ phần của Công ty TNHH Một thành viên Đầu tư Kinh Bắc - Đà Nẵng. > Cổ phiếu của Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng. > 1.309.000 cổ phiếu phổ thông của Công ty Cổ phần Khu công nghiệp Sài Gòn- Hải Phòng do KBC năm giữ và 726.000 cổ phiếu của SBG do Công ty Cổ phần Khu công nghiệp Sài Gòn- Hải Phòng nằm giữ > 26.000.000 cổ phiếu của KBC > 700.000 cổ phiếu Công ty Cổ phần Khu công nghiệp Sài Gòn- Hải Phòng > 800.000 cổ phiếu của Công ty Cổ phần Khu công nghiệp Sài Gòn- Hải Phòng > 420.000 cổ phiếu phổ thông của Công ty Cổ phần Khu công nghiệp Sài Gòn- Hải Phòng
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(21.838.114.623),,,,,,,-21838114623.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,11.048.280,,1.362.961.885.377,,,,,11048280.0,,1362961885377.0,,,
Trái phiếu phải thanh toán trong năm tối Trái phiếu phải thanh toán trong dài hạn Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Trái phiếu phải thanh toán trong năm tối Trái phiếu phải thanh toán trong dài hạn Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Trái phiếu phải thanh toán trong năm tối Trái phiếu phải thanh toán trong dài hạn Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Trái phiếu phải thanh toán trong năm tối Trái phiếu phải thanh toán trong dài hạn Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Trái phiếu phải thanh toán trong năm tối Trái phiếu phải thanh toán trong dài hạn Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Trái phiếu phải thanh toán trong năm tối Trái phiếu phải thanh toán trong dài hạn Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,557.100.000.000 827.700.000.000 (21.838.114.623),,,,,,,,,,
