row_label_raw,row_label_full,col_0,Thuyết minh số,Số cuối năm,Đơn vị tính: VND,numeric__Thuyết minh số,numeric__Số cuối năm,numeric__Đơn vị tính: VND
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,14.1,434.925.286.015,516.941.269.318,141.0,434925286015.0,516941269318.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,14.2,448.500.200.000,448.500.200.000,142.0,448500200000.0,448500200000.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(22.344.943.996),(17.708.401.963),,-22344943996.0,-17708401963.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,861.080.542.019,947.733.067.355,,861080542019.0,947733067355.0
