row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay dài hạn và trái phiếu dài hạn đến hạn trả (Thuyết minh số 19.1 và Thuyết minh số 19.2),Vay ngắn hạn > Vay dài hạn và trái phiếu dài hạn đến hạn trả (Thuyết minh số 19.1 và Thuyết minh số 19.2),Vay dài hạn và trái phiếu dài hạn đến hạn trả (Thuyết minh số 19.1 và Thuyết minh số 19.2),1.016.039.792.014,1.016.039.792.014,870.935.305.750,(1.190.939.792.014),696.035.305.750,696.035.305.750,1016039792014.0,1016039792014.0,870935305750.0,-1190939792014.0,696035305750.0,696035305750.0
Vay ngắn hạn các bên liên quan (Thuyết minh số 28),Vay ngắn hạn > Vay ngắn hạn các bên liên quan (Thuyết minh số 28),Vay ngắn hạn các bên liên quan (Thuyết minh số 28),152.330.830.000,152.330.830.000,100.000.000.000,(144.330.830.000),108.000.000.000,108.000.000.000,152330830000.0,152330830000.0,100000000000.0,-144330830000.0,108000000000.0,108000000000.0
Vay đổi tượng khác,Vay ngắn hạn > Vay đổi tượng khác,Vay đổi tượng khác,35.935.378.567,35.935.378.567,60.000.000.000,(95.935.378.567),-,-,35935378567.0,35935378567.0,60000000000.0,-95935378567.0,,
,,,1.204.306.000.581,1.204.306.000.581,1.030.935.305.750,(1.431.206.000.581),804.035.305.750,804.035.305.750,1204306000581.0,1204306000581.0,1030935305750.0,-1431206000581.0,804035305750.0,804035305750.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay dài hạn ngân hàng (Thuyết minh số 19.1),Vay dài hạn > Vay dài hạn ngân hàng (Thuyết minh số 19.1),Vay dài hạn ngân hàng (Thuyết minh số 19.1),420.746.370.720,420.746.370.720,242.579.434.704,(403.225.151.100),260.100.654.324,260.100.654.324,420746370720.0,420746370720.0,242579434704.0,-403225151100.0,260100654324.0,260100654324.0
Trái phiếu (Thuyết minh số 19.2),Vay dài hạn > Trái phiếu (Thuyết minh số 19.2),Trái phiếu (Thuyết minh số 19.2),862.118.545.452,862.118.545.452,768.850.229.027,(825.106.889.102),805.861.885.377,805.861.885.377,862118545452.0,862118545452.0,768850229027.0,-825106889102.0,805861885377.0,805861885377.0
Vay ngắn hạn các bên liên quan (Thuyết minh số 28),Vay dài hạn > Vay ngắn hạn các bên liên quan (Thuyết minh số 28),Vay ngắn hạn các bên liên quan (Thuyết minh số 28),-,-,30.000.000.000,-,30.000.000.000,30.000.000.000,,,30000000000.0,,30000000000.0,30000000000.0
Vay đổi tượng khác (*),Vay dài hạn > Vay đổi tượng khác (*),Vay đổi tượng khác (*),-,-,25.935.378.567,-,25.935.378.567,25.935.378.567,,,25935378567.0,,25935378567.0,25935378567.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.282.864.916.172,1.282.864.916.172,1.067.365.042.298,(1.228.332.040.202),1.121.897.918.268,1.121.897.918.268,1282864916172.0,1282864916172.0,1067365042298.0,-1228332040202.0,1121897918268.0,1121897918268.0
