row_label_raw,row_label_full,col_0,Xây lắp VND,Sản xuất công nghiệp VND,Bất động sản VND,Năng lượng VND,Bán hàng VND,Các hoạt động khác VND,Hợp nhất VND,numeric__Xây lắp VND,numeric__Sản xuất công nghiệp VND,numeric__Bất động sản VND,numeric__Năng lượng VND,numeric__Bán hàng VND,numeric__Các hoạt động khác VND,numeric__Hợp nhất VND
Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,,,,,,,
Tải sản của bộ phận,Tại ngày 1 tháng 1 năm 2021 > Tải sản của bộ phận,Tải sản của bộ phận,2.747.635.183.789,382.181.121.963,532.302.566.298,4.852.295.487.841,262.440.973.882,44.689.061.418,8.821.544.395.191,2747635183789.0,382181121963.0,532302566298.0,4852295487841.0,262440973882.0,44689061418.0,8821544395191.0
Tải sản không phân bổ,Tại ngày 1 tháng 1 năm 2021 > Tải sản không phân bổ,Tải sản không phân bổ,,,,,,,1.900.123.697.927,,,,,,,1900123697927.0
Tổng tài sản,Tại ngày 1 tháng 1 năm 2021 > Tổng tài sản,Tổng tài sản,,,,,,,10.721.668.093.118,,,,,,,10721668093118.0
Nợ phải trả của bộ phận,Tại ngày 1 tháng 1 năm 2021 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,1.352.106.317.365,318.892.507.133,128.851.311.553,2.568.030.849.953,180.555.233.006,24.862.208.233,4.573.298.427.243,1352106317365.0,318892507133.0,128851311553.0,2568030849953.0,180555233006.0,24862208233.0,4573298427243.0
Nợ phải trả không phân bổ,Tại ngày 1 tháng 1 năm 2021 > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,1.378.843.663.562,,,,,,,1378843663562.0
Tổng nợ phải trả,Tại ngày 1 tháng 1 năm 2021 > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,5.952.142.090.805,,,,,,,5952142090805.0
Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Chi tiêu vốn,Chi tiêu vốn,8.947.567.027,4.118.338.453,63.259.899.984,829.088.243.908,-,260.000.000,905.674.049.372,8947567027.0,4118338453.0,63259899984.0,829088243908.0,,260000000.0,905674049372.0
Khẩu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Khẩu hao tài sản cố định hữu hình,Khẩu hao tài sản cố định hữu hình,6.363.340.842,7.810.067.495,-,175.423.699.103,-,-,189.597.107.440,6363340842.0,7810067495.0,,175423699103.0,,,189597107440.0
Khẩu hao tài sản cố định vô hình,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,148.832.874,243.792.684,-,-,-,-,392.625.558,148832874.0,243792684.0,,,,,392625558.0
Khẩu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Khẩu hao bất động sản đầu tư,Khẩu hao bất động sản đầu tư,-,-,10.054.834.827,-,-,-,10.054.834.827,,,10054834827.0,,,,10054834827.0
