row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi số trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.261.637,-,5.261.637,5261637.0,,5261637.0
Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,25.062.895.433,-,25.062.895.433,25062895433.0,,25062895433.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,263.824.048,-,263.824.048,263824048.0,,263824048.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,226.571.557,-,226.571.557,226571557.0,,226571557.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,5.946.109.505,-,5.946.109.505,5946109505.0,,5946109505.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,-,202.549.187.157,202.549.187.157,,202549187157.0,202549187157.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,53.359.089,-,53.359.089,53359089.0,,53359089.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(2.538.690.035),-,(2.538.690.035),-2538690035.0,,-2538690035.0
Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,-,(40.509.837.400),(40.509.837.400),,-40509837400.0,-40509837400.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,29.019.331.234,162.039.349.757,191.058.680.991,29019331234.0,162039349757.0,191058680991.0
Lợi thể thương mại phát sinh từ việc mua lại,Lợi thể thương mại phát sinh từ việc mua lại,Lợi thể thương mại phát sinh từ việc mua lại,,,2.405.571.778,,,2405571778.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,191.055.469.517,,,191055469517.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,5.261.637,,,5261637.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,191.050.207.880,,,191050207880.0
