row_label_raw,row_label_full,Ngân hàng TMCP Công thương Việt Nam > Ngân hàng TMCP Công thương Việt Nam (*) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Loại tiền > VND,31/12/2021 VND > 722.015.730.585 > 10.891.350.830 > 659.516.860.825,1/1/2021 VND > 537.601.979.089 > - > 369.040.452.802,numeric__Loại tiền > VND,numeric__31/12/2021 VND > 722.015.730.585 > 10.891.350.830 > 659.516.860.825,numeric__1/1/2021 VND > 537.601.979.089 > - > 369.040.452.802
Ngân hàng BNP Paribas,Ngân hàng BNP Paribas,Ngân hàng BNP Paribas,VND,497.843.841.474,257.303.208.754,,497843841474.0,257303208754.0
Ngân hàng TNHH Một thành viên HSBC,Ngân hàng TNHH Một thành viên HSBC,Ngân hàng TNHH Một thành viên HSBC,VND,308.994.286.515,-,,308994286515.0,
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,VND,81.499.557.236,162.006.531.008,,81499557236.0,162006531008.0
Renova Renewables Vietnam 1 Pte. Ltd.,Renova Renewables Vietnam 1 Pte. Ltd.,Renova Renewables Vietnam 1 Pte. Ltd.,VND,77.346.563.931,-,,77346563931.0,
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,VND,39.351.492.520,4.985.127.589,,39351492520.0,4985127589.0
Ngân hàng Shinhan Bank Việt Nam,Ngân hàng Shinhan Bank Việt Nam,Ngân hàng Shinhan Bank Việt Nam,VND,38.832.286.311,63.726.327.474,,38832286311.0,63726327474.0
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,VND,-,282.757.373,,,282757373.0
Các cá nhân,Các cá nhân,Các cá nhân,VND,22.584.166.393,41.733.674.000,,22584166393.0,41733674000.0
,,,,2.458.876.136.620,1.436.680.058.089,,2458876136620.0,1436680058089.0
