row_label_raw,row_label_full,col_0,1/1/2021Giá trị ghi số và số có khả năng trả nợVND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,31/12/2021Giá trị ghi số và số có khả năng trả nợVND,numeric__1/1/2021Giá trị ghi số và số có khả năng trả nợVND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__31/12/2021Giá trị ghi số và số có khả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.436.680.058.089,11.018.930.420.762,(9.996.734.342.231),2.458.876.136.620,1436680058089.0,11018930420762.0,-9996734342231.0,2458876136620.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,149.768.000.000,340.677.486.963,(149.768.000.000),340.677.486.963,149768000000.0,340677486963.0,-149768000000.0,340677486963.0
,,,1.586.448.058.089,11.359.607.907.725,(10.146.502.342.231),2.799.553.623.583,1586448058089.0,11359607907725.0,-10146502342231.0,2799553623583.0
