row_label_raw,row_label_full,NỘ PHẢI TRẢ (300 = 310 + 330),300,col_2,12.406.199.375.288,5.952.142.090.805,numeric__300,numeric__col_2,numeric__12.406.199.375.288,numeric__5.952.142.090.805
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,5.798.709.308.694,3.743.819.472.629,310.0,,5798709308694.0,3743819472629.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,21,1.756.355.852.050,1.100.061.504.655,311.0,21.0,1756355852050.0,1100061504655.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,22,61.565.293.438,485.944.936.229,312.0,22.0,61565293438.0,485944936229.0
Thuế và các khoản khác phải nộp,Thuế và các khoản khác phải nộp,Thuế và các khoản khác phải nộp,,,,,,,,
Nhà nước,Thuế và các khoản khác phải nộp > Nhà nước,Nhà nước,313,23,57.875.464.313,146.366.280.970,313.0,23.0,57875464313.0,146366280970.0
Phải trả người lao động,Thuế và các khoản khác phải nộp > Phải trả người lao động,Phải trả người lao động,314,,73.644.686.355,83.281.029.274,314.0,,73644686355.0,83281029274.0
Chi phí phải trả ngắn hạn,Thuế và các khoản khác phải nộp > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,24,803.547.487.900,165.534.227.533,315.0,24.0,803547487900.0,165534227533.0
Doanh thu chưa thực hiện ngắn hạn,Thuế và các khoản khác phải nộp > Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,837.788.869,852.893.750,318.0,,837788869.0,852893750.0
Phải trả ngắn hạn khác,Thuế và các khoản khác phải nộp > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,25(a),94.096.679.867,58.498.493.653,319.0,,94096679867.0,58498493653.0
Vay ngắn hạn,Thuế và các khoản khác phải nộp > Vay ngắn hạn,Vay ngắn hạn,320,26(a),2.799.553.623.583,1.586.448.058.089,320.0,,2799553623583.0,1586448058089.0
Dự phòng phải trả ngắn hạn,Thuế và các khoản khác phải nộp > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,27,16.403.173.920,870.431.400,321.0,27.0,16403173920.0,870431400.0
"Quỹ khen thưởng, phúc lợi","Thuế và các khoản khác phải nộp > Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,28,134.829.258.399,115.961.617.076,322.0,28.0,134829258399.0,115961617076.0
Nợ dài hạn,Thuế và các khoản khác phải nộp > Nợ dài hạn,Nợ dài hạn,330,,6.607.490.066.594,2.208.322.618.176,330.0,,6607490066594.0,2208322618176.0
Doanh thu chưa thực hiện dài hạn,Thuế và các khoản khác phải nộp > Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,336,,459.722.104,-,336.0,,459722104.0,
Phải trả dài hạn khác,Thuế và các khoản khác phải nộp > Phải trả dài hạn khác,Phải trả dài hạn khác,337,25(b),4.272.392.275,4.638.703.453,337.0,,4272392275.0,4638703453.0
Vay dài hạn,Thuế và các khoản khác phải nộp > Vay dài hạn,Vay dài hạn,338,26(b),6.237.700.383.328,2.171.328.298.868,338.0,,6237700383328.0,2171328298868.0
Thuế thu nhập hoãn lại phải trả,Thuế và các khoản khác phải nộp > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,19,325.819.782.115,14.586.747.574,341.0,19.0,325819782115.0,14586747574.0
Dự phòng phải trả dài hạn,Thuế và các khoản khác phải nộp > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,27,39.237.786.772,17.768.868.281,342.0,27.0,39237786772.0,17768868281.0
