row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi số trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,7.458.106.015,-,7.458.106.015,7458106015.0,,7458106015.0
Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,59.911.052.945,-,59.911.052.945,59911052945.0,,59911052945.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,9.841.485.019,-,9.841.485.019,9841485019.0,,9841485019.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,619.613.950,-,619.613.950,619613950.0,,619613950.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,-,977.536.296.866,977.536.296.866,,977536296866.0,977536296866.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,241.529.406.987,-,241.529.406.987,241529406987.0,,241529406987.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,-,353.720.477,353.720.477,,353720477.0,353720477.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(203.145.664.916),-,(203.145.664.916),-203145664916.0,,-203145664916.0
Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,-,(195.578.003.373),(195.578.003.373),,-195578003373.0,-195578003373.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,116.214.000.000,782.312.013.970,898.526.013.970,116214000000.0,782312013970.0,898526013970.0
Lợi thế thương mại phát sinh tử việc mua lại,Lợi thế thương mại phát sinh tử việc mua lại,Lợi thế thương mại phát sinh tử việc mua lại,,,17.858.669.371,,,17858669371.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,232.960.000.000,,,232960000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,7.458.106.015,,,7458106015.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,225.501.893.985,,,225501893985.0
