row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch đánh giá lợi tài sản VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch đánh giá lợi tài sản VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,1.593.242.660.000,711.136.556.786,22.906.800.000,(4.320.000),708.285.511,129.678.219.448,47.203.224.342,933.063.484.397,256.845.751.933,3.694.780.662.417,1593242660000.0,711136556786.0,22906800000.0,-4320000.0,708285511.0,129678219448.0,47203224342.0,933063484397.0,256845751933.0,3694780662417.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,-,-,-,-,503.696.060.000,503.696.060.000,,,,,,,,,503696060000.0,503696060000.0
Giảm vốn trong năm,Giảm vốn trong năm,Giảm vốn trong năm,-,-,-,-,-,-,-,-,(296.000.000),(296.000.000),,,,,,,,,-296000000.0,-296000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,512.806.303.331,31.275.354.395,544.081.657.726,,,,,,,,512806303331.0,31275354395.0,544081657726.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,318.638.930.000,-,-,-,-,-,-,(318.638.930.000),-,-,318638930000.0,,,,,,,-318638930000.0,,
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,35.779.161.016,-,(35.779.161.016),-,-,,,,,,35779161016.0,,-35779161016.0,,
"Trích quỹ khien thưởng, phúc lợi","Trích quỹ khien thưởng, phúc lợi","Trích quỹ khien thưởng, phúc lợi",-,-,-,-,-,-,-,(36.047.429.204),-,(36.047.429.204),,,,,,,,-36047429204.0,,-36047429204.0
Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,-,-,-,-,-,-,17.889.580.508,(17.889.580.508),-,-,,,,,,,17889580508.0,-17889580508.0,,
Lãi thời một phần vốn đầu tư,Lãi thời một phần vốn đầu tư,Lãi thời một phần vốn đầu tư,-,-,-,-,-,-,-,79.485.775.868,-,79.485.775.868,,,,,,,,79485775868.0,,79485775868.0
Phân phối lợi nhuận tai công ty con,Phân phối lợi nhuận tai công ty con,Phân phối lợi nhuận tai công ty con,-,-,-,-,-,1.468.273.789,173.247.510,(7.167.231.822),(15.905.585.319),(21.431.295.842),,,,,,1468273789.0,173247510.0,-7167231822.0,-15905585319.0,-21431295842.0
Hợp nhất công ty con,Hợp nhất công ty con,Hợp nhất công ty con,-,-,-,-,-,-,-,-,6.184.383.607,6.184.383.607,,,,,,,,,6184383607.0,6184383607.0
Thay đổi ty lệ lợi ích tai công ty con,Thay đổi ty lệ lợi ích tai công ty con,Thay đổi ty lệ lợi ích tai công ty con,-,-,-,-,-,-,-,(52.672.358),52.672.358,-,,,,,,,,-52672358.0,52672358.0,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(2.520.000),-,(1.163.904.418),238.612.159,(927.812.259),,,,,,-2520000.0,,-1163904418.0,238612159.0,-927812259.0
Số dư tại ngày 1/1/2021 (mang sang trang sau),Số dư tại ngày 1/1/2021 (mang sang trang sau),Số dư tại ngày 1/1/2021 (mang sang trang sau),1.911.881.590.000,711.136.556.786,22.906.800.000,(4.320.000),708.285.511,166.923.134.253,65.266.052.360,1.108.616.654.270,782.091.249.133,4.769.526.002.313,1911881590000.0,711136556786.0,22906800000.0,-4320000.0,708285511.0,166923134253.0,65266052360.0,1108616654270.0,782091249133.0,4769526002313.0
