row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi sổ trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.975.237.885,-,3.975.237.885,3975237885.0,,3975237885.0
Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,2.371.821.735,-,2.371.821.735,2371821735.0,,2371821735.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,811.432.643,-,811.432.643,811432643.0,,811432643.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,284.316.962,-,284.316.962,284316962.0,,284316962.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,457.494.442,-,457.494.442,457494442.0,,457494442.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(1.391.115.456),-,(1.391.115.456),-1391115456.0,,-1391115456.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,6.509.188.211,-,6.509.188.211,6509188211.0,,6509188211.0
Lợi thế thương mại âm phát sinh từ việc mua lại,Lợi thế thương mại âm phát sinh từ việc mua lại,Lợi thế thương mại âm phát sinh từ việc mua lại,,,769.685.988,,,769685988.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,2.550.000.000,,,2550000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,3.975.237.885,,,3975237885.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,(1.425.237.885),,,-1425237885.0
