row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Dụng cụvăn phòngVND,Tài sản cố địnhhầu hình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Dụng cụvăn phòngVND,numeric__Tài sản cố địnhhầu hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.210.049.813.606,2.105.034.406.816,210.450.217.343,11.165.327.522,1.653.525.142,4.538.353.290.429,2210049813606.0,2105034406816.0,210450217343.0,11165327522.0,1653525142.0,4538353290429.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,85.000.000,20.006.497.590,12.451.026.504,1.862.642.932,151.600.000,34.556.767.026,85000000.0,20006497590.0,12451026504.0,1862642932.0,151600000.0,34556767026.0
Chuyên tử xây dựng cơ bản đó dang,Nguyên giá > Chuyên tử xây dựng cơ bản đó dang,Chuyên tử xây dựng cơ bản đó dang,1.051.737.901.312,4.590.998.122.129,9.138.438.091,154.930.213,-,5.652.029.391.745,1051737901312.0,4590998122129.0,9138438091.0,154930213.0,,5652029391745.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,14.784.636.855,1.526.026.880,-,-,-,16.310.663.735,14784636855.0,1526026880.0,,,,16310663735.0
Tăng do chuyển công ty liên kếtthành công ty con,Nguyên giá > Tăng do chuyển công ty liên kếtthành công ty con,Tăng do chuyển công ty liên kếtthành công ty con,-,1.137.504.195,674.090.909,76.800.000,-,1.888.395.104,,1137504195.0,674090909.0,76800000.0,,1888395104.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(5.754.800.644),(5.705.914.976),(4.506.535.208),(106.150.000),(57.566.398),(16.130.967.226),-5754800644.0,-5705914976.0,-4506535208.0,-106150000.0,-57566398.0,-16130967226.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(943.094.045),(1.071.592.296),-,-,-,(2.014.686.341),-943094045.0,-1071592296.0,,,,-2014686341.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(3.199.898.892),14.949.317.295,(11.639.369.379),(167.615.422),57.566.398,-,-3199898892.0,14949317295.0,-11639369379.0,-167615422.0,57566398.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.266.759.558.192,6.726.874.367.633,216.567.868.260,12.985.935.245,1.805.125.142,10.224.992.854.472,3266759558192.0,6726874367633.0,216567868260.0,12985935245.0,1805125142.0,10224992854472.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,254.394.798.010,383.062.783.522,89.369.673.577,8.743.857.385,983.641.680,736.554.754.174,254394798010.0,383062783522.0,89369673577.0,8743857385.0,983641680.0,736554754174.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,88.062.875.386,178.863.567.674,20.523.335.793,951.337.648,251.883.797,288.653.000.298,88062875386.0,178863567674.0,20523335793.0,951337648.0,251883797.0,288653000298.0
Tăng do mua công ty con,Giá trị hao mòn lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,8.887.734.368,1.019.325.420,-,-,-,9.907.059.788,8887734368.0,1019325420.0,,,,9907059788.0
