row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch đánh giá lợi tài sản VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch đánh giá lợi tài sản VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày1/1/2021 (mang sang từ trang trước),Số dư tại ngày1/1/2021 (mang sang từ trang trước),Số dư tại ngày1/1/2021 (mang sang từ trang trước),1.911.881.590.000,711.136.556.786,22.906.800.000,(4.320.000),708.285.511,166.923.134.253,65.266.052.360,1.108.616.654.270,782.091.249.133,4.769.526.002.313,1911881590000.0,711136556786.0,22906800000.0,-4320000.0,708285511.0,166923134253.0,65266052360.0,1108616654270.0,782091249133.0,4769526002313.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),382.369.490.000,-,-,-,-,-,-,(382.369.490.000),-,-,382369490000.0,,,,,,,-382369490000.0,,
Tăng vốn góp tại công ty con,Tăng vốn góp tại công ty con,Tăng vốn góp tại công ty con,-,-,-,-,-,-,-,-,364.946.840.000,364.946.840.000,,,,,,,,,364946840000.0,364946840000.0
Tăng vốn góp theo chương trình ESOP (ii),Tăng vốn góp theo chương trình ESOP (ii),Tăng vốn góp theo chương trình ESOP (ii),57.345.410.000,-,-,4.320.000,-,-,-,-,-,57.349.730.000,57345410000.0,,,4320000.0,,,,,,57349730000.0
Giảm vốn trong năm,Giảm vốn trong năm,Giảm vốn trong năm,-,-,-,-,-,-,-,-,(488.000.000),(488.000.000),,,,,,,,,-488000000.0,-488000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,695.020.247.248,69.269.719.342,764.289.966.590,,,,,,,,695020247248.0,69269719342.0,764289966590.0
"Trích quỹ knees thường, phúc lợi","Trích quỹ knees thường, phúc lợi","Trích quỹ knees thường, phúc lợi",-,-,-,-,-,-,-,(38.932.069.415),(538.952.430),(39.471.021.845),,,,,,,,-38932069415.0,-538952430.0,-39471021845.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,77.380.070.787,-,(77.380.070.787),-,-,,,,,,77380070787.0,,-77380070787.0,,
Trích quỹ bổ sung vốn điều lệ,Trích quỹ bổ sung vốn điều lệ,Trích quỹ bổ sung vốn điều lệ,-,-,-,-,-,-,47.707.066,(47.707.066),-,-,,,,,,,47707066.0,-47707066.0,,
"Phân phố lợi nhuận, chia cổ tức tại công ty con","Phân phố lợi nhuận, chia cổ tức tại công ty con","Phân phố lợi nhuận, chia cổ tức tại công ty con",-,-,-,-,-,-,-,-,(25.022.805.067),(25.022.805.067),,,,,,,,,-25022805067.0,-25022805067.0
Thay đổi ty lệ lợi ích tại công ty con,Thay đổi ty lệ lợi ích tại công ty con,Thay đổi ty lệ lợi ích tại công ty con,-,-,-,-,-,-,-,-,387.174.185.564,387.174.185.564,,,,,,,,,387174185564.0,387174185564.0
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,-,-,-,-,-,-,-,-,2.408.783.220,2.408.783.220,,,,,,,,,2408783220.0,2408783220.0
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,-,-,-,-,-,(13.900.000),-,372.471.651,(236.210.187),122.361.464,,,,,,-13900000.0,,372471651.0,-236210187.0,122361464.0
Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,2.351.596.490.000,711.136.556.786,22.906.800.000,-,708.285.511,244.289.305.040,65.313.759.426,1.305.280.035.901,1.579.604.809.575,6.280.836.042.239,2351596490000.0,711136556786.0,22906800000.0,,708285511.0,244289305040.0,65313759426.0,1305280035901.0,1579604809575.0,6280836042239.0
