row_label_raw,row_label_full,col_0,Dự phòng bảo hành sản phẩm hàng hóa VND,Dự phòng bảo hành công trình xây dựng VND,Tổng cộng VND,numeric__Dự phòng bảo hành sản phẩm hàng hóa VND,numeric__Dự phòng bảo hành công trình xây dựng VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,11.377.620.968,7.261.678.713,18.639.299.681,11377620968.0,7261678713.0,18639299681.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,39.614.026.800,5.686.782.000,45.300.808.800,39614026800.0,5686782000.0,45300808800.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(5.352.172.939),-,(5.352.172.939),-5352172939.0,,-5352172939.0
Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,(55.448.200),(2.891.526.650),(2.946.974.850),-55448200.0,-2891526650.0,-2946974850.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,45.584.026.629,10.056.934.063,55.640.960.692,45584026629.0,10056934063.0,55640960692.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Dự phòng phải trả ngắn hạn,Trong đó: > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,16.403.173.920,-,16.403.173.920,16403173920.0,,16403173920.0
Dự phòng phải trả dài hạn,Trong đó: > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,29.180.852.709,10.056.934.063,39.237.786.772,29180852709.0,10056934063.0,39237786772.0
,,,45.584.026.629,10.056.934.063,55.640.960.692,45584026629.0,10056934063.0,55640960692.0
