row_label_raw,row_label_full,col_0,Xây lắp VND,Sản xuất công nghiệp VND,Bất động sản VND,Năng lượng VND,Bán hàng VND,Các hoạt động khác VND,Hợp nhất VND,numeric__Xây lắp VND,numeric__Sản xuất công nghiệp VND,numeric__Bất động sản VND,numeric__Năng lượng VND,numeric__Bán hàng VND,numeric__Các hoạt động khác VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,,,,,,,
Doanh thu hợp nhất của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Doanh thu hợp nhất của bộ phận,Doanh thu hợp nhất của bộ phận,3.060.741.678.342,825.757.109.539,856.093.531.787,748.112.842.891,1.121.778.208.590,66.117.210.194,6.678.600.581.343,3060741678342.0,825757109539.0,856093531787.0,748112842891.0,1121778208590.0,66117210194.0,6678600581343.0
Giá vốn hàng bán bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Giá vốn hàng bán bộ phận,Giá vốn hàng bán bộ phận,(2.753.270.380.528),(742.930.173.126),(577.424.760.957),(296.465.086.448),(1.096.148.207.293),(50.707.483.055),(5.516.946.091.407),-2753270380528.0,-742930173126.0,-577424760957.0,-296465086448.0,-1096148207293.0,-50707483055.0,-5516946091407.0
Kết quả kinh doanh của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,307.471.297.814,82.826.936.413,278.668.770.830,451.647.756.443,25.630.001.297,15.409.727.139,1.161.654.489.936,307471297814.0,82826936413.0,278668770830.0,451647756443.0,25630001297.0,15409727139.0,1161654489936.0
Chi phí bán hàng,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Chi phí bán hàng,Chi phí bán hàng,,,,,,,(70.552.235.921),,,,,,,-70552235921.0
Chi phí quản lý doanh nghiệp,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,(267.722.567.030),,,,,,,-267722567030.0
Doanh thu hoạt động tài chính,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,37.255.892.764,,,,,,,37255892764.0
Chi phí tài chính,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Chi phí tài chính,Chi phí tài chính,,,,,,,(243.840.926.915),,,,,,,-243840926915.0
Phần lãi trong công ty liên kết,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,,,18.043.746.585,,,,,,,18043746585.0
Kết quả từ hoạt động khác,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Kết quả từ hoạt động khác,Kết quả từ hoạt động khác,,,,,,,16.973.509.804,,,,,,,16973509804.0
Chi phí thuế thu nhập doanh nghiệp,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,,(107.730.251.497),,,,,,,-107730251497.0
Lợi nhuận thuần sau thuế,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,544.081.657.726,,,,,,,544081657726.0
