row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2021VND,1/1/2021VND,,
Vestas Asia Pacific A/S,Vestas Asia Pacific A/S,Vestas Asia Pacific A/S,239.713.062.923,-,239713062923.0,
Tổng Công ty Khoáng sản TKV - CTCP,Tổng Công ty Khoáng sản TKV - CTCP,Tổng Công ty Khoáng sản TKV - CTCP,125.192.185.800,57.259.004.836,125192185800.0,57259004836.0
Công ty TNHH Thương mại Đức Giang,Công ty TNHH Thương mại Đức Giang,Công ty TNHH Thương mại Đức Giang,112.758.129.401,42.766.126.563,112758129401.0,42766126563.0
Công ty Cổ phần Sông Đà 5,Công ty Cổ phần Sông Đà 5,Công ty Cổ phần Sông Đà 5,71.878.835.080,-,71878835080.0,
Công ty Cổ phần Đầu tư Thương mại,Công ty Cổ phần Đầu tư Thương mại,Công ty Cổ phần Đầu tư Thương mại,,,,
Xuất nhập khẩu Việt Phát,Công ty Cổ phần Đầu tư Thương mại > Xuất nhập khẩu Việt Phát,Xuất nhập khẩu Việt Phát,66.264.776.820,94.553.670.578,66264776820.0,94553670578.0
Ngân hàng TMCP Quốc tế Việt Nam – Sở giao dịch (*),Công ty Cổ phần Đầu tư Thương mại > Ngân hàng TMCP Quốc tế Việt Nam – Sở giao dịch (*),Ngân hàng TMCP Quốc tế Việt Nam – Sở giao dịch (*),49.976.168.550,-,49976168550.0,
Công ty Cổ phần Cáp điện và Hệ thống LS - Vina,Công ty Cổ phần Đầu tư Thương mại > Công ty Cổ phần Cáp điện và Hệ thống LS - Vina,Công ty Cổ phần Cáp điện và Hệ thống LS - Vina,-,52.238.601.517,,52238601517.0
Dongfang Electric International Corporation,Công ty Cổ phần Đầu tư Thương mại > Dongfang Electric International Corporation,Dongfang Electric International Corporation,-,43.383.114.988,,43383114988.0
Khác,Công ty Cổ phần Đầu tư Thương mại > Khác,Khác,1.090.572.693.476,809.860.986.173,1090572693476.0,809860986173.0
,,,1.756.355.852.050,1.100.061.504.655,1756355852050.0,1100061504655.0
