row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2025 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,501.073.842.912,-,-,501.073.842.912,501073842912.0,,,501073842912.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2025 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.289.315.229.690,17.775.579.910,-,1.307.090.809.600,1289315229690.0,17775579910.0,,1307090809600.0
Các khoản cho vay,Tại ngày 31/12/2025 > Các khoản cho vay,Các khoản cho vay,177.350.000.000,147.000.000.000,-,324.350.000.000,177350000000.0,147000000000.0,,324350000000.0
,,,1.967.739.072.602,164.775.579.910,-,2.132.514.652.512,1967739072602.0,164775579910.0,,2132514652512.0
Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2025 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,547.038.783.796,-,-,547.038.783.796,547038783796.0,,,547038783796.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2025 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",948.713.566.486,20.459.899.926,-,969.173.466.412,948713566486.0,20459899926.0,,969173466412.0
Các khoản cho vay,Tại ngày 01/01/2025 > Các khoản cho vay,Các khoản cho vay,21.841.300.000,100.000.000.000,-,121.841.300.000,21841300000.0,100000000000.0,,121841300000.0
,,,1.517.593.650.282,120.459.899.926,-,1.638.053.550.208,1517593650282.0,120459899926.0,,1638053550208.0
