row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch tỷ giá,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch tỷ giá,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư tại ngày 01/01/2024,Số dư tại ngày 01/01/2024,Số dư tại ngày 01/01/2024,3.799.609.710.000,(374.324.139),39.231.559.483,(2.890.407.801),8.728.889.757,84.146.505.344,677.616.313.260,4.606.068.245.904,3799609710000.0,-374324139.0,39231559483.0,-2890407801.0,8728889757.0,84146505344.0,677616313260.0,4606068245904.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,84.340.302.128,10.955.540.325,95.295.842.453,,,,,,84340302128.0,10955540325.0,95295842453.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(6.835.189.200),(1.250.010.000),(8.085.199.200),,,,,,-6835189200.0,-1250010000.0,-8085199200.0
Chi trả cổ tức cho cổ đông không kiểm soát,Chi trả cổ tức cho cổ đông không kiểm soát,Chi trả cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,-,(6.375.125.000),(6.375.125.000),,,,,,,-6375125000.0,-6375125000.0
Thoái vốn Công ty con,Thoái vốn Công ty con,Thoái vốn Công ty con,-,-,-,2.890.407.801,-,14.576.978.105,(23.705.870.563),(6.238.484.657),,,,2890407801.0,,14576978105.0,-23705870563.0,-6238484657.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,3.799.609.710.000,(374.324.139),39.231.559.483,-,8.728.889.757,176.228.596.377,657.240.848.022,4.680.665.279.500,3799609710000.0,-374324139.0,39231559483.0,,8728889757.0,176228596377.0,657240848022.0,4680665279500.0
Số dư tại ngày 01/01/2025,Số dư tại ngày 01/01/2025,Số dư tại ngày 01/01/2025,3.799.609.710.000,(374.324.139),39.231.559.483,-,8.728.889.757,176.228.596.377,657.240.848.022,4.680.665.279.500,3799609710000.0,-374324139.0,39231559483.0,,8728889757.0,176228596377.0,657240848022.0,4680665279500.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,96.399.920.736,8.701.495.489,105.101.416.225,,,,,,96399920736.0,8701495489.0,105101416225.0
"Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)",-,-,-,-,-,(8.349.905.853),(425.065.254),(8.774.971.107),,,,,,-8349905853.0,-425065254.0,-8774971107.0
Chi trả cổ tức năm trước cho cổ đông không kiểm soát (*),Chi trả cổ tức năm trước cho cổ đông không kiểm soát (*),Chi trả cổ tức năm trước cho cổ đông không kiểm soát (*),-,-,-,-,-,-,(4.938.112.500),(4.938.112.500),,,,,,,-4938112500.0,-4938112500.0
Tạm ứng cổ tức năm nay cho cổ đông không kiểm soát (*),Tạm ứng cổ tức năm nay cho cổ đông không kiểm soát (*),Tạm ứng cổ tức năm nay cho cổ đông không kiểm soát (*),-,-,-,-,-,-,(4.200.000.000),(4.200.000.000),,,,,,,-4200000000.0,-4200000000.0
Trích thưởng vượt lợi nhuận,Trích thưởng vượt lợi nhuận,Trích thưởng vượt lợi nhuận,-,-,-,-,-,(2.099.168.375),(747.161.625),(2.846.330.000),,,,,,-2099168375.0,-747161625.0,-2846330000.0
Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,3.799.609.710.000,(374.324.139),39.231.559.483,-,8.728.889.757,262.179.442.885,655.632.004.132,4.765.007.282.118,3799609710000.0,-374324139.0,39231559483.0,,8728889757.0,262179442885.0,655632004132.0,4765007282118.0
