row_label_raw,row_label_full,Hợp đồng,Hạn mức,Thời hạn vay,Mục đích vay,Lãi suất,Hình thức bảo đảm,31/12/2025,31/12/2025_1,numeric__Hạn mức,numeric__Thời hạn vay,numeric__Mục đích vay,numeric__Lãi suất,numeric__Hình thức bảo đảm,numeric__31/12/2025,numeric__31/12/2025_1
,,,,,,,,USD,VND,,,,,,,
(5) Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Đồng Nai,(5) Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Đồng Nai,(5) Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Đồng Nai,(5) Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Đồng Nai,(5) Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Đồng Nai,(5) Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Đồng Nai,(5) Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Đồng Nai,(5) Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Đồng Nai,(5) Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Đồng Nai,381.822.147.108,,,,,,,381822147108.0
- Hợp đồng tín dụng số 01/2025/4207630/HĐTD ngày 25/08/2025,- Hợp đồng tín dụng số 01/2025/4207630/HĐTD ngày 25/08/2025,- Hợp đồng tín dụng số 01/2025/4207630/HĐTD ngày 25/08/2025,450.000.000.000 VND,Đến hết ngày 31/07/2026,"Bổ sung vốn lưu động, phát hành bảo lãnh và mở L/C phục vụ hoạt động sản xuất kinh doanh",Theo từng giấy nhận nợ,Chứng thư bào lãnh của Công ty Cổ phần SAM Holdings.,,236.560.221.689,,,,,,,236560221689.0
- Hợp đồng tín dụng số 01/2025/4207630/HĐTD ngày 25/08/2025,- Hợp đồng tín dụng số 01/2025/4207630/HĐTD ngày 25/08/2025,- Hợp đồng tín dụng số 01/2025/4207630/HĐTD ngày 25/08/2025,450.000.000.000 VND,Đến hết ngày 31/07/2026,"Bổ sung vốn lưu động, phát hành bảo lãnh và mở L/C phục vụ hoạt động sản xuất kinh doanh",Theo từng giấy nhận nợ,Chứng thư bào lãnh của Công ty Cổ phần SAM Holdings.,"5.507.143,55",145.261.925.419,,,,,,5507143.55,145261925419.0
(6) Ngân hàng TNHH MTV ShinHan Việt Nam - Phòng giao dịch Quận 9,(6) Ngân hàng TNHH MTV ShinHan Việt Nam - Phòng giao dịch Quận 9,(6) Ngân hàng TNHH MTV ShinHan Việt Nam - Phòng giao dịch Quận 9,(6) Ngân hàng TNHH MTV ShinHan Việt Nam - Phòng giao dịch Quận 9,(6) Ngân hàng TNHH MTV ShinHan Việt Nam - Phòng giao dịch Quận 9,(6) Ngân hàng TNHH MTV ShinHan Việt Nam - Phòng giao dịch Quận 9,(6) Ngân hàng TNHH MTV ShinHan Việt Nam - Phòng giao dịch Quận 9,(6) Ngân hàng TNHH MTV ShinHan Việt Nam - Phòng giao dịch Quận 9,(6) Ngân hàng TNHH MTV ShinHan Việt Nam - Phòng giao dịch Quận 9,1.000.000.000,,,,,,,1000000000.0
- Hợp đồng tín dụng số SHBVN/DIST9/2025/HĐTD-328,- Hợp đồng tín dụng số SHBVN/DIST9/2025/HĐTD-328,- Hợp đồng tín dụng số SHBVN/DIST9/2025/HĐTD-328,1.000.000.000 VND,01 tháng,Thanh toán tiền thi công theo Hợp đồng thi công số 09/2025/SCS-ANPHUOC/HĐTC ngày 02/08/2025,"7,7%/năm",Hợp đồng cầm cố số SHBVN/DIST9/2025/HĐCC-328 ngày 17/12/2025 như sau: - Thế chấp Hợp đồng tiền gửi tại Ngân hàng TNHH MTV Shinhan Việt Nam với tổng số tiền là 1.000.000.000 VND,,1.000.000.000,,,,,,,1000000000.0
(7) Công ty Cổ phần Đầu tư Infinity Group,(7) Công ty Cổ phần Đầu tư Infinity Group,(7) Công ty Cổ phần Đầu tư Infinity Group,(7) Công ty Cổ phần Đầu tư Infinity Group,(7) Công ty Cổ phần Đầu tư Infinity Group,(7) Công ty Cổ phần Đầu tư Infinity Group,(7) Công ty Cổ phần Đầu tư Infinity Group,(7) Công ty Cổ phần Đầu tư Infinity Group,(7) Công ty Cổ phần Đầu tư Infinity Group,112.000.000.000,,,,,,,112000000000.0
- Hợp đồng vay tiền số 01/2025 /HĐVT/IFG-STL ngày 10/06/2025,- Hợp đồng vay tiền số 01/2025 /HĐVT/IFG-STL ngày 10/06/2025,- Hợp đồng vay tiền số 01/2025 /HĐVT/IFG-STL ngày 10/06/2025,200.000.000.000 VND,12 tháng,Bổ sung vốn lưu động phục vụ sản xuất kinh doanh,6%/năm,Tín chấp,,112.000.000.000,,,,,,,112000000000.0
(8) Công ty Cổ phần Phú Hữu Gia,(8) Công ty Cổ phần Phú Hữu Gia,(8) Công ty Cổ phần Phú Hữu Gia,(8) Công ty Cổ phần Phú Hữu Gia,(8) Công ty Cổ phần Phú Hữu Gia,(8) Công ty Cổ phần Phú Hữu Gia,(8) Công ty Cổ phần Phú Hữu Gia,(8) Công ty Cổ phần Phú Hữu Gia,(8) Công ty Cổ phần Phú Hữu Gia,39.000.000.000,,,,,,,39000000000.0
- Hợp đồng cho vay vốn số 03/2025/HĐVV/SLD-PHG ngày 30/12/2025,- Hợp đồng cho vay vốn số 03/2025/HĐVV/SLD-PHG ngày 30/12/2025,- Hợp đồng cho vay vốn số 03/2025/HĐVV/SLD-PHG ngày 30/12/2025,100.000.000.000 VND,12 tháng,Bổ sung vốn kinh doanh,"4,7%/năm",Tín chấp,,39.000.000.000,,,,,,,39000000000.0
