row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thực nộptrong năm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,378.761.806,1.036.252.060,187.356.216.001,186.149.867.917,144.022.325,2.007.860.663,378761806.0,1036252060.0,187356216001.0,186149867917.0,144022325.0,2007860663.0
Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,-,1.182.801.860,8.196.000.365,8.810.769.993,-,568.032.232,,1182801860.0,8196000365.0,8810769993.0,,568032232.0
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",3.522.972,-,2.699.320.050,2.830.838.091,135.041.013,-,3522972.0,,2699320050.0,2830838091.0,135041013.0,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,-,11.596.600.148,26.669.572.101,28.261.842.150,-,10.004.330.099,,11596600148.0,26669572101.0,28261842150.0,,10004330099.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,-,377.712.365,5.390.942.717,5.323.955.140,-,444.699.942,,377712365.0,5390942717.0,5323955140.0,,444699942.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,279.000,3.285.000,3.285.000,-,279.000,,279000.0,3285000.0,3285000.0,,279000.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",-,-,14.530.127.505,14.530.127.505,-,-,,,14530127505.0,14530127505.0,,
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,-,228.141.840,228.141.840,-,-,,,228141840.0,228141840.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,13.907.443,676.503.085,675.145.817,-,15.264.711,,13907443.0,676503085.0,675145817.0,,15264711.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,100.236.000,920.728,920.728,-,100.236.000,,100236000.0,920728.0,920728.0,,100236000.0
,,,382.284.778,14.307.788.876,245.751.029.392,246.814.894.181,279.063.338,13.140.702.647,382284778.0,14307788876.0,245751029392.0,246814894181.0,279063338.0,13140702647.0
