row_label_raw,row_label_full,Phải thu dài hạn khác (Thuyết minh 7(b)) > Công ty Cổ phần Thành Thành Nam > Phải trả người bán ngắn hạn (Thuyết minh 13),Số cuối năm VND > Phải thu dài hạn khác (Thuyết minh 7(b)) > 498.204.382 > Phải trả người bán ngắn hạn (Thuyết minh 13),Số đầu năm VND > Phải thu dài hạn khác (Thuyết minh 7(b)) > 498.204.382 > Phải trả người bán ngắn hạn (Thuyết minh 13),numeric__Số cuối năm VND > Phải thu dài hạn khác (Thuyết minh 7(b)) > 498.204.382 > Phải trả người bán ngắn hạn (Thuyết minh 13),numeric__Số đầu năm VND > Phải thu dài hạn khác (Thuyết minh 7(b)) > 498.204.382 > Phải trả người bán ngắn hạn (Thuyết minh 13)
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,12.337.893.700,4.616.215.352,12337893700.0,4616215352.0
Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,66.000.000,237.407.000,66000000.0,237407000.0
Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,-,6.900.788.005,,6900788005.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,-,416.602.230,,416602230.0
Công ty Cổ phần Xuất Nhập Khẩu Bến Tre,Công ty Cổ phần Xuất Nhập Khẩu Bến Tre,Công ty Cổ phần Xuất Nhập Khẩu Bến Tre,-,114.000.000,,114000000.0
Công ty Cổ phần Thương mại Thành Thành Công,Công ty Cổ phần Thương mại Thành Thành Công,Công ty Cổ phần Thương mại Thành Thành Công,-,3.058.000,,3058000.0
,,,12.403.893.700,12.288.070.587,12403893700.0,12288070587.0
Phải trả ngắn hạn khác (Thuyết minh 16),Phải trả ngắn hạn khác (Thuyết minh 16),Phải trả ngắn hạn khác (Thuyết minh 16),Phải trả ngắn hạn khác (Thuyết minh 16),Phải trả ngắn hạn khác (Thuyết minh 16),,
Công ty Cổ phần Năng lượng Tái tạo mới Số 1,Phải trả ngắn hạn khác (Thuyết minh 16) > Công ty Cổ phần Năng lượng Tái tạo mới Số 1,Công ty Cổ phần Năng lượng Tái tạo mới Số 1,180.000.000.000,-,180000000000.0,
