row_label_raw,row_label_full,Số dư đầu năm,Năm nay VND > 31.471.221.587,Năm trước VND > 23.514.393.063,numeric__Năm nay VND > 31.471.221.587,numeric__Năm trước VND > 23.514.393.063
Tăng,Tăng,Tăng,27.382.185.796,37.564.641.572,27382185796.0,37564641572.0
Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,177.488.381,637.343.575,177488381.0,637343575.0
Phân bổ,Phân bổ,Phân bổ,(36.861.877.095),(30.245.156.623),-36861877095.0,-30245156623.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,22.169.018.669,31.471.221.587,22169018669.0,31471221587.0
