row_label_raw,row_label_full,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Bên liên quan,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Nội dung nghiệp vụ,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Năm nay VND,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Năm trước VND,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Nội dung nghiệp vụ,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Năm nay VND,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Năm trước VND
Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Góp vốn,682.300.000.000,97.400.000.000,,682300000000.0,97400000000.0
Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Cho vay,55.000.000.000,-,,55000000000.0,
Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Thu hồi khoản cho vay,55.000.000.000,-,,55000000000.0,
Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Lãi cho vay,281.369.862,-,,281369862.0,
Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Doanh thu bán hàng và cung cấp dịch vụ,15.370.758.980,-,,15370758980.0,
Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Công ty Cổ Phần Năng lượng Điện Giới Tiền Giang,Chi phí chi hộ,357.458.661,46.458.778,,357458661.0,46458778.0
Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Góp vốn,70.000.000.000,19.999.900.000,,70000000000.0,19999900000.0
Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Doanh thu bán hàng và cung cấp dịch vụ,203.185.140,71.078.788,,203185140.0,71078788.0
Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Chi phí chi hộ,54.185.204,54.526.278,,54185204.0,54526278.0
Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Góp vốn,6.000.000.000,252.000.000.000,,6000000000.0,252000000000.0
Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Doanh thu bán hàng và cung cấp dịch vụ,15.455.701.416,44.036.364,,15455701416.0,44036364.0
Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Chi phí chi hộ,357.540.502,1.789.686.865,,357540502.0,1789686865.0
Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Cho vay,-,24.000.000.000,,,24000000000.0
Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Thu hồi cho vay,-,24.000.000.000,,,24000000000.0
Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Lãi cho vay,-,309.041.096,,,309041096.0
Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Góp vốn,24.600.000.000,15.000.000.000,,24600000000.0,15000000000.0
Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Cổ tức được chia,6.516.000.000,-,,6516000000.0,
Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Doanh thu bán hàng và cung cấp dịch vụ,-,3.742.384.727,,,3742384727.0
Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Chi phí chi hộ,192.456.410,20.604.606,,192456410.0,20604606.0
