row_label_raw,row_label_full,Bên đi vay,Số cuối năm VND,Thời hạn cho vay,Lãi suất %/năm,Hình thức đảm bảo,numeric__Số cuối năm VND,numeric__Thời hạn cho vay,numeric__Lãi suất %/năm,numeric__Hình thức đảm bảo
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,87.175.900.000,(*),"11,5",Tín chấp,87175900000.0,,11.5,
Công ty TNHH Một Thành viên Thủy điện Thượng Lộ,Công ty TNHH Một Thành viên Thủy điện Thượng Lộ,Công ty TNHH Một Thành viên Thủy điện Thượng Lộ,2.900.000.000,3 tháng,"10,0",Tín chấp,2900000000.0,,10.0,
,,,90.075.900.000,,,,90075900000.0,,,
