row_label_raw,row_label_full,THUYẾT MINH CÁC BÊN LIÊN QUANGiao dịch với các bên liên quan > Bên liên quan,THUYẾT MINH CÁC BÊN LIÊN QUANGiao dịch với các bên liên quan > Nội dung nghiệp vụ,THUYẾT MINH CÁC BÊN LIÊN QUANGiao dịch với các bên liên quan > Năm nay VND,THUYẾT MINH CÁC BÊN LIÊN QUANGiao dịch với các bên liên quan > Năm trước VND,numeric__THUYẾT MINH CÁC BÊN LIÊN QUANGiao dịch với các bên liên quan > Nội dung nghiệp vụ,numeric__THUYẾT MINH CÁC BÊN LIÊN QUANGiao dịch với các bên liên quan > Năm nay VND,numeric__THUYẾT MINH CÁC BÊN LIÊN QUANGiao dịch với các bên liên quan > Năm trước VND
Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Doanh thu bán hàng và cung cấp dịch vụGóp vốnNhận chuyển nhượng cổ phầnCổ tức được chiaMua hàng hóa dịch vụChi phí chi hộ,13.770.890.527189.919.854.00016.000.000.00048.134.470.000-828.674.723,33.566.934.734183.360.600.000-54.277.697.600500.000320.620.384,,,
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,"Mua hàng hóa, dịch vụDoanh thu bán hàng và cung cấp dịch vụChi phí chi hộBồi thường",47.070.303---,11.794.700.0571.453.739.149278.169.608111.280.000,,,1.1794700057145374e+38
Công ty TNHH Một thành viên Thủy điện Thượng Lộ,Công ty Cổ phần Thủy điện Gia Lai > Công ty TNHH Một thành viên Thủy điện Thượng Lộ,Công ty TNHH Một thành viên Thủy điện Thượng Lộ,"Doanh thu bán hàng và cung cấp dịch vụCho vayThu hồi cho vayChi phí chi hộLãi cho vayMua hàng hóa, dịch vụ",1.808.161.9464.900.000.0002.000.000.000212.251.099121.123.28717.324.404,1.515.318.1472.900.000.0002.900.000.000121.486.45155.808.21918.558.598,,1.80816194649e+55,1.51531814729e+54
Công ty TNHH Một thành viên Tư vấnvà Phát triển Năng lượng Gia Lai,Công ty Cổ phần Thủy điện Gia Lai > Công ty TNHH Một thành viên Tư vấnvà Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấnvà Phát triển Năng lượng Gia Lai,"Lợi nhuận được chiaThu hồi khoản cho vayMua hàng hóa, dịch vụDoanh thu bán hàng và cung cấp dịch vụChi phí chi hộLãi cho vay",-329.335.455-92.299.063-,2.200.960.988800.000.000404.256.039234.164.162133.101.75635.331.508,,,2.2009609888e+53
