row_label_raw,row_label_full,Bên liên quan (Thuyết minh 31(b)),Tại ngày đầu năm VND > Bên liên quan (Thuyết minh 31(b)),Chỉ cho vay trong năm VND > Bên liên quan (Thuyết minh 31(b)),Chuyển từ phải thu ngắn hạn khác trong năm VND > Bên liên quan (Thuyết minh 31(b)),Thu hồi nợ vay trong năm VND > Bên liên quan (Thuyết minh 31(b)),Tại ngày cuối năm VND > Bên liên quan (Thuyết minh 31(b)),numeric__Tại ngày đầu năm VND > Bên liên quan (Thuyết minh 31(b)),numeric__Chỉ cho vay trong năm VND > Bên liên quan (Thuyết minh 31(b)),numeric__Chuyển từ phải thu ngắn hạn khác trong năm VND > Bên liên quan (Thuyết minh 31(b)),numeric__Thu hồi nợ vay trong năm VND > Bên liên quan (Thuyết minh 31(b)),numeric__Tại ngày cuối năm VND > Bên liên quan (Thuyết minh 31(b))
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,69.200.397.839,99.800.000.000,26.200.000.000,(108.024.497.839),87.175.900.000,69200397839.0,99800000000.0,26200000000.0,-108024497839.0,87175900000.0
Công ty TNHH Một Thành viên Thủy điện Thượng Lộ,Công ty TNHH Một Thành viên Thủy điện Thượng Lộ,Công ty TNHH Một Thành viên Thủy điện Thượng Lộ,-,4.900.000.000,-,(2.000.000.000),2.900.000.000,,4900000000.0,,-2000000000.0,2900000000.0
Công ty Cổ phần Năng lượng Điện gió Tiền Giang,Công ty Cổ phần Năng lượng Điện gió Tiền Giang,Công ty Cổ phần Năng lượng Điện gió Tiền Giang,-,55.000.000.000,-,(55.000.000.000),-,,55000000000.0,,-55000000000.0,
,,,69.200.397.839,159.700.000.000,26.200.000.000,(165.024.497.839),90.075.900.000,69200397839.0,159700000000.0,26200000000.0,-165024497839.0,90075900000.0
