row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị VND,Số cuối năm > Dự phòng VND,Số đầu năm > Giá trị VND,Số đầu năm > Dự phòng VND,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Dự phòng VND
Đặt cọc quyền chọn mua cổ phần (*),Đặt cọc quyền chọn mua cổ phần (*),Đặt cọc quyền chọn mua cổ phần (*),-,-,110.000.000.000,-,,,110000000000.0,
Tạm ứng cho nhân viên (**),Tạm ứng cho nhân viên (**),Tạm ứng cho nhân viên (**),24.669.660.971,-,24.294.085.130,-,24669660971.0,,24294085130.0,
Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,17.536.000.000,-,39.536.731.250,-,17536000000.0,,39536731250.0,
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,858.646.762,-,1.282.635.336,-,858646762.0,,1282635336.0,
Đặt cọc chuyển nhượng cổ phần (Thuyết minh 12(a)),Đặt cọc chuyển nhượng cổ phần (Thuyết minh 12(a)),Đặt cọc chuyển nhượng cổ phần (Thuyết minh 12(a)),-,-,205.959.520.000,-,,,205959520000.0,
Phải thu từ thanh lý tài sản (***),Phải thu từ thanh lý tài sản (***),Phải thu từ thanh lý tài sản (***),75.053.323.375,-,-,-,75053323375.0,,,
Khác,Khác,Khác,332.463.718,-,3.108.362.631,-,332463718.0,,3108362631.0,
,,,118.450.094.826,-,384.181.334.347,-,118450094826.0,,384181334347.0,
Trong đóBên liên quan (Thuyết minh 31(b)),Trong đóBên liên quan (Thuyết minh 31(b)),Trong đóBên liên quan (Thuyết minh 31(b)),18.387.457.762,-,359.523.835.068,-,18387457762.0,,359523835068.0,
Bên thứ ba,Bên thứ ba,Bên thứ ba,100.062.637.064,-,24.657.499.279,-,100062637064.0,,24657499279.0,
,,,118.450.094.826,-,384.181.334.347,-,118450094826.0,,384181334347.0,
