row_label_raw,row_label_full,col_0,Vôn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư và phát triển VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vôn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư và phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,2.038.916.770.000,38.672.862.153,35.594.096.475,225.814.955.043,2.338.998.683.671,2038916770000.0,38672862153.0,35594096475.0,225814955043.0,2338998683671.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,509.729.190.000,(466.600.000),-,-,509.262.590.000,509729190000.0,-466600000.0,,,509262590000.0
Phát hành cổ phiếu bằng cổ tức,Phát hành cổ phiếu bằng cổ tức,Phát hành cổ phiếu bằng cổ tức,163.105.920.000,-,-,(163.105.920.000),-,163105920000.0,,,-163105920000.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,253.901.289.543,253.901.289.543,,,,253901289543.0,253901289543.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(15.028.235.217),(15.028.235.217),,,,-15028235217.0,-15028235217.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,7.617.038.686,(7.617.038.686),-,,,7617038686.0,-7617038686.0,
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,2.711.751.880.000,38.206.262.153,43.211.135.161,293.965.050.683,3.087.134.327.997,2711751880000.0,38206262153.0,43211135161.0,293965050683.0,3087134327997.0
Vốn tăng trong năm (*),Vốn tăng trong năm (*),Vốn tăng trong năm (*),216.940.150.000,-,-,-,216.940.150.000,216940150000.0,,,,216940150000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,230.743.655.551,230.743.655.551,,,,230743655551.0,230743655551.0
Phát hành cổ phiếu bằng cổ tức (**),Phát hành cổ phiếu bằng cổ tức (**),Phát hành cổ phiếu bằng cổ tức (**),108.463.230.000,-,-,(108.463.230.000),-,108463230000.0,,,-108463230000.0,
Trả cổ tức (**),Trả cổ tức (**),Trả cổ tức (**),-,-,-,(108.470.075.200),(108.470.075.200),,,,-108470075200.0,-108470075200.0
"Trích quỹ khen thưởng, phúc lợi (**)","Trích quỹ khen thưởng, phúc lợi (**)","Trích quỹ khen thưởng, phúc lợi (**)",-,-,-,(11.537.182.777),(11.537.182.777),,,,-11537182777.0,-11537182777.0
Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),-,-,6.922.309.667,(6.922.309.667),-,,,6922309667.0,-6922309667.0,
Khác,Khác,Khác,-,(353.600.000),-,-,(353.600.000),,-353600000.0,,,-353600000.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,3.037.155.260.000,37.852.662.153,50.133.444.828,289.315.908.590,3.414.457.275.571,3037155260000.0,37852662153.0,50133444828.0,289315908590.0,3414457275571.0
