row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, truyền đầnvND",Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, truyền đầnvND",numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,1.048.221.401.092,1.764.226.275.197,210.821.868.766,39.714.275.835,43.267.077.610,3.106.250.898.500,1048221401092.0,1764226275197.0,210821868766.0,39714275835.0,43267077610.0,3106250898500.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,90.909.091,464.945.455,-,237.745.000,4.859.523.656,5.653.123.202,90909091.0,464945455.0,,237745000.0,4859523656.0,5653123202.0
Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 11),Nguyên giá > Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 11),-,806.607.220,-,-,413.320.914,1.219.928.134,,806607220.0,,,413320914.0,1219928134.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.992.274.107),(31.334.615.626),(18.960.059.288),(3.503.743.353),(19.351.785.531),(85.142.477.905),-11992274107.0,-31334615626.0,-18960059288.0,-3503743353.0,-19351785531.0,-85142477905.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,-,-,(364.425.387),(364.425.387),,,,,-364425387.0,-364425387.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,1.036.320.036.076,1.734.163.212.246,191.861.809.478,36.448.277.482,28.823.711.262,3.027.617.046.544,1036320036076.0,1734163212246.0,191861809478.0,36448277482.0,28823711262.0,3027617046544.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,282.069.315.847,314.352.446.377,74.360.845.341,16.138.279.574,15.311.305.136,702.232.192.275,282069315847.0,314352446377.0,74360845341.0,16138279574.0,15311305136.0,702232192275.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,50.683.504.552,98.114.396.266,11.529.194.555,7.015.354.591,4.073.203.985,171.415.653.949,50683504552.0,98114396266.0,11529194555.0,7015354591.0,4073203985.0,171415653949.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.798.075.680),(25.660.925.180),(18.235.796.650),(2.746.648.797),(7.154.500.618),(65.595.946.925),-11798075680.0,-25660925180.0,-18235796650.0,-2746648797.0,-7154500618.0,-65595946925.0
Giảm khác,Khấu hao lũy kế > Giảm khác,Giảm khác,-,-,-,-,(184.229.976),(184.229.976),,,,,-184229976.0,-184229976.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,320.954.744.719,386.805.917.463,67.654.243.246,20.406.985.368,12.045.778.527,807.867.669.323,320954744719.0,386805917463.0,67654243246.0,20406985368.0,12045778527.0,807867669323.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,766.152.085.245,1.449.873.828.820,136.461.023.425,23.575.996.261,27.955.772.474,2.404.018.706.225,766152085245.0,1449873828820.0,136461023425.0,23575996261.0,27955772474.0,2404018706225.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,715.365.291.357,1.347.357.294.783,124.207.566.232,16.041.292.114,16.777.932.735,2.219.749.377.221,715365291357.0,1347357294783.0,124207566232.0,16041292114.0,16777932735.0,2219749377221.0
