row_label_raw,row_label_full,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Bên liên quan,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Nội dung nghiệp vụ,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Năm nay VND,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Năm trước VND,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Nội dung nghiệp vụ,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Năm nay VND,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)Giao dịch với các bên liên quan (tiếp theo) > Năm trước VND
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Doanh thu bán hàng và cung cấp dịch vụ,1.603.907.462,53.564.076.474,,1603907462.0,53564076474.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Cổ tức được chia,55.620.000.000,51.908.052.000,,55620000000.0,51908052000.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Góp vốn,-,47.000.000.000,,,47000000000.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Chi phí chi hộ,300.394.862,46.457.291,,300394862.0,46457291.0
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Góp vốn,205.959.520.000,-,,205959520000.0,
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Cho vay,-,48.700.000.000,,,48700000000.0
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Lãi cho vay,-,7.703.517.807,,,7703517807.0
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Thu hồi khoản cho vay,-,99.200.000.000,,,99200000000.0
Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,Chi phí chi hộ,-,18.414.546,,,18414546.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Doanh thu bán hàng và cung cấp dịch vụ,1.480.551.331,61.150.681.137,,1480551331.0,61150681137.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Góp vốn,-,46.978.880.000,,,46978880000.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Cổ tức được chia,52.326.469.500,34.884.313.000,,52326469500.0,34884313000.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,"Mua hàng hóa, dịch vụ",50.000.000,11.974.080,,50000000.0,11974080.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Chi phí chi hộ,297.166.262,4.063.889,,297166262.0,4063889.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Thu hồi khoản cho vay,-,56.000.000.000,,,56000000000.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Lãi cho vay,-,3.016.652.052,,,3016652052.0
