row_label_raw,row_label_full,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3
Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),,,
Bên liên quan,Bên liên quan,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,
Công ty TNHH Mía đường TTC Attapeu,Bên liên quan > Công ty TNHH Mía đường TTC Attapeu,Công ty TNHH Mía đường TTC Attapeu,Doanh thu bán hàng và cung cấp dịch vụ,68.705.455,90.545.459,,68705455.0,90545459.0
Công ty Cổ phần Thành Thành Nam,Bên liên quan > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Mua dịch vụ,5.279.993.372,5.738.573.728,,5279993372.0,5738573728.0
Công ty Cổ phần Xuất Nhập khẩu Tân Định,Bên liên quan > Công ty Cổ phần Xuất Nhập khẩu Tân Định,Công ty Cổ phần Xuất Nhập khẩu Tân Định,Mua hàng hóa dịch vụ,781.729.998,-,,781729998.0,
Công ty Cổ phần Thương mại Thành Thành Công,Bên liên quan > Công ty Cổ phần Thương mại Thành Thành Công,Công ty Cổ phần Thương mại Thành Thành Công,Mua hàng hóa và dịch vụ,220.000.000,180.733.395,,220000000.0,180733395.0
Công ty Cổ phần Xuất Nhập Khẩu Bến Tre,Bên liên quan > Công ty Cổ phần Xuất Nhập Khẩu Bến Tre,Công ty Cổ phần Xuất Nhập Khẩu Bến Tre,Mua hàng hóa và dịch vụ,-,103.636.364,,,103636364.0
Công ty Cổ phần Du lịch Thanh Bình,Bên liên quan > Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,Mua dịch vụ,82.017.078,165.398.096,,82017078.0,165398096.0
Công ty TNHH Dịch vụ Quản lýBất động sản Sài Gòn Thương Tín,Bên liên quan > Công ty TNHH Dịch vụ Quản lýBất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lýBất động sản Sài Gòn Thương Tín,Mua hàng hóa và dịch vụ,20.900.000,24.600.000,,20900000.0,24600000.0
Công ty Cổ phần Biên Hòa - Thành Long,Bên liên quan > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,Mua hàng hóa và dịch vụThu hồi khoản vayLãi cho vay,-,10.604.913.8902.900.000.00080.246.575,,,1.060491389029e+28
