row_label_raw,row_label_full,Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4)
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,35.837.883.082,51.775.647.850,35837883082.0,51775647850.0
Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,-,40.853.051.200,,40853051200.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,497.110.373,572.497.338,497110373.0,572497338.0
Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,-,7.000.000,,7000000.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,-,9.296.429.400,,9296429400.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,-,8.798.785.500,,8798785500.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,-,961.158.000,,961158000.0
Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi - Ja,-,30.000.000,,30000000.0
Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,30.863.000,130.865.799,30863000.0,130865799.0
Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,-,23.148.264,,23148264.0
,,,36.365.856.455,112.448.583.351,36365856455.0,112448583351.0
Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu về cho vay ngắn hạn (Thuyết minh 6) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,87.175.900.000,69.200.397.839,87175900000.0,69200397839.0
