row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Vốn khác thuộc chủ Lợi nhuận sau thuế chưa sở hữu,phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Vốn khác thuộc chủ Lợi nhuận sau thuế chưa sở hữu,numeric__phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,5.977.730.480.000,10.677.980.806,(2.500.560.000),82.466.447.657,32.030.490.000,2.669.077.393.194,4.611.992.908.737,13.381.475.140.394,5977730480000.0,10677980806.0,-2500560000.0,82466447657.0,32030490000.0,2669077393194.0,4611992908737.0,13381475140394.0
Phát hành cổ phiếu đế chuyển đổi trái phiếu,Năm trước > Phát hành cổ phiếu đế chuyển đổi trái phiếu,Phát hành cổ phiếu đế chuyển đổi trái phiếu,70.059.540.000,69.720.460.000,-,-,-,-,-,139.780.000.000,70059540000.0,69720460000.0,,,,,,139780000000.0
Phát hành cổ phiếu (ESOP),Năm trước > Phát hành cổ phiếu (ESOP),Phát hành cổ phiếu (ESOP),70.000.000.000,-,-,-,-,-,-,70.000.000.000,70000000000.0,,,,,,,70000000000.0
Góp vốn của cổ đông không kiểm soát,Năm trước > Góp vốn của cổ đông không kiểm soát,Góp vốn của cổ đông không kiểm soát,-,-,-,-,-,-,347.325.665.121,347.325.665.121,,,,,,,347325665121.0,347325665121.0
Thường và chia cổ tức bằng cổ phiếu của các công ty con,Năm trước > Thường và chia cổ tức bằng cổ phiếu của các công ty con,Thường và chia cổ tức bằng cổ phiếu của các công ty con,-,-,-,-,602.449.562.599,(602.449.562.599),-,-,,,,,602449562599.0,-602449562599.0,,
Cổ tức trả cho cổ đông không kiểm soát,Năm trước > Cổ tức trả cho cổ đông không kiểm soát,Cổ tức trả cho cổ đông không kiểm soát,-,-,-,-,-,-,(375.240.689.275),(375.240.689.275),,,,,,,-375240689275.0,-375240689275.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,214.869.190.226,318.837.477.882,533.706.668.108,,,,,,214869190226.0,318837477882.0,533706668108.0
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,23.145.206.567,-,(23.145.206.567),-,-,,,,23145206567.0,,-23145206567.0,,
"Trích quỹ khen thường, phúc lợi","Năm trước > Trích quỹ khen thường, phúc lợi","Trích quỹ khen thường, phúc lợi",-,-,-,-,-,(67.822.221.846),(54.942.660.031),(122.764.881.877),,,,,,-67822221846.0,-54942660031.0,-122764881877.0
Thanh lý công ty con,Năm trước > Thanh lý công ty con,Thanh lý công ty con,-,-,-,1.061.416.428,-,117.781.470.735,(8.193.139.182),110.649.747.981,,,,1061416428.0,,117781470735.0,-8193139182.0,110649747981.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,6.117.790.020.000,80.398.440.806,(2.500.560.000),106.673.070.652,634.480.052.599,2.308.311.063.143,4.839.779.563.252,14.084.931.650.452,6117790020000.0,80398440806.0,-2500560000.0,106673070652.0,634480052599.0,2308311063143.0,4839779563252.0,14084931650452.0
