row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,137.073.388.105,178.450.525.065,(41.377.136.960),26.386.318.946,137073388105.0,178450525065.0,-41377136960.0,26386318946.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,14.359.126.101,56.755.576.654,(42.396.450.553),24.851.236.477,14359126101.0,56755576654.0,-42396450553.0,24851236477.0
Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Tài sản thuế thu nhập hoãn lại > Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),26.799.367.528,16.151.709.392,10.647.658.136,(6.650.776.682),26799367528.0,16151709392.0,10647658136.0,-6650776682.0
Dự phòng các khoản phải thu,Tài sản thuế thu nhập hoãn lại > Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,1.589.865.829,1.689.865.830,(100.000.001),1.480.357.529,1589865829.0,1689865830.0,-100000001.0,1480357529.0
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,-,255.482.898,(255.482.898),-,,255482898.0,-255482898.0,
,,,179.821.747.563,253.303.159.839,,,179821747563.0,253303159839.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Dự phòng các khoản đầu tư,Thuế thu nhập hoãn lại phải trả > Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,(147.720.321.584),(96.416.415.038),(51.303.906.545),(26.823.564.884),-147720321584.0,-96416415038.0,-51303906545.0,-26823564884.0
Khác,Thuế thu nhập hoãn lại phải trả > Khác,Khác,(8.030.189.647),(1.817.351.644),(6.212.838.003),21.853.537.471,-8030189647.0,-1817351644.0,-6212838003.0,21853537471.0
,,,(155.750.511.231),(98.233.766.682),,,-155750511231.0,-98233766682.0,,
(Chi phí) thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > (Chi phí) thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,(Chi phí) thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,(Chi phí) thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,(Chi phí) thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,(130.998.156.825),41.097.108.857,,,-130998156825.0,41097108857.0
