row_label_raw,row_label_full,Số đầu năm > Mua trong năm > Thanh lý trong năm,262.806.975.090 > 61.397.430.825 > (20.312.164.596),numeric__262.806.975.090 > 61.397.430.825 > (20.312.164.596)
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(53.921.643.069),-53921643069.0
Số cuối năm,Số cuối năm,Số cuối năm,249.970.598.250,249970598250.0
