row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,585.675.082.461,1.056.802.243.719,585675082461.0,1056802243719.0
Chi phí môi giới,Chi phí môi giới,Chi phí môi giới,194.422.513.918,114.090.423.717,194422513918.0,114090423717.0
Chi phí lương,Chi phí lương,Chi phí lương,114.609.958.320,419.007.505.582,114609958320.0,419007505582.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,65.649.837.216,280.702.574.664,65649837216.0,280702574664.0
Hỗ trợ lãi suất,Hỗ trợ lãi suất,Hỗ trợ lãi suất,32.701.799.079,70.538.768.136,32701799079.0,70538768136.0
Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,14.861.331.369,13.653.389.488,14861331369.0,13653389488.0
Chi phí khác,Chi phí khác,Chi phí khác,163.429.642.559,158.809.582.132,163429642559.0,158809582132.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,390.860.153.660,1.083.002.678.333,390860153660.0,1083002678333.0
Chi phí lương,Chi phí lương,Chi phí lương,202.168.352.334,459.955.511.430,202168352334.0,459955511430.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,38.364.028.219,174.008.030.307,38364028219.0,174008030307.0
Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,28.279.170.124,22.873.130.364,28279170124.0,22873130364.0
Chi phí lợi thế thương mại,Chi phí lợi thế thương mại,Chi phí lợi thế thương mại,26.327.325.960,28.401.318.374,26327325960.0,28401318374.0
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,38.736.180.015,304.511.221.505,38736180015.0,304511221505.0
Chi phí khác,Chi phí khác,Chi phí khác,56.985.097.008,93.253.466.353,56985097008.0,93253466353.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,976.535.236.121,2.139.804.922.052,976535236121.0,2139804922052.0
